,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,1711.077,-1354,-273,-117,-23,-33,29,-479,893,-768
1,1727.435,-1346,-268,-109,-28,-23,19,-462,899,-749
2,1743.043,-1348,-256,-83,-48,-40,2,-464,869,-746
3,1758.1100000000001,-1345,-266,-61,-85,-56,-25,-462,903,-718
4,1773.1570000000002,-1384,-189,-60,-177,-86,-106,-452,893,-720
5,1788.185,-1457,-316,-38,-240,-200,-255,-469,897,-724
6,1803.231,-1461,-496,53,-546,-355,-329,-461,897,-719
7,1818.238,-1420,-606,112,-914,-487,-375,-446,915,-725
8,1833.2459999999999,-1428,-688,208,-1202,-540,-454,-446,915,-771
9,1848.298,-1502,-753,274,-1504,-539,-712,-454,954,-747
10,1863.414,-1553,-851,250,-1883,-536,-1115,-434,974,-775
11,1878.425,-1574,-1265,97,-2549,-467,-1553,-448,1047,-753
12,1893.634,-1666,-1295,-97,-2733,-342,-1998,-442,1057,-764
13,1910.753,-1747,-1541,-267,-2873,-269,-2509,-404,1149,-727
14,1927.257,-1780,-1594,-346,-2611,-334,-2918,-402,1240,-726
15,1942.3049999999998,-1781,-1663,-406,-2167,-262,-3255,-390,1276,-703
16,1957.238,-1803,-1616,-489,-1826,-99,-3536,-381,1319,-707
17,1972.3329999999999,-1816,-1587,-589,-1640,207,-3781,-345,1359,-660
18,1987.536,-1807,-1612,-718,-1506,554,-3989,-282,1483,-665
19,2002.789,-1772,-1600,-863,-1348,918,-4197,-256,1513,-601
20,2017.8880000000001,-1723,-1559,-1268,-1235,1512,-4397,-225,1578,-588
21,2032.994,-1674,-1536,-1170,-1525,1638,-4563,-163,1635,-520
22,2048.076,-1609,-1504,-1258,-1361,2011,-4656,-118,1723,-475
23,2063.1330000000003,-1410,-1490,-1356,-1030,2321,-4621,14,1758,-440
24,2078.123,-1348,-1440,-1313,-1012,2482,-4592,79,1792,-383
25,2093.1980000000003,-1195,-1040,-1206,-686,2735,-4605,147,1805,-367
26,2108.505,-1024,-1191,-1182,-378,2989,-4502,202,1827,-370
27,2125.77,-898,-1070,-1235,9,3222,-4254,350,1853,-383
28,2141.352,-868,-1007,-1145,509,3297,-4116,427,1833,-368
29,2156.354,-750,-855,-1001,527,3323,-3944,502,1853,-375
30,2171.4809999999998,-656,-730,-908,802,3262,-3757,577,1858,-458
31,2186.66,-578,-524,-809,788,3265,-3624,695,1834,-489
32,2201.741,-465,-532,-764,546,3427,-3491,759,1811,-502
33,2216.762,-371,-460,-505,254,3597,-3292,802,1796,-512
34,2231.9629999999997,-285,-445,-404,-31,3736,-3041,850,1766,-565
35,2247.052,-231,-445,-325,-267,3771,-2569,911,1744,-610
36,2262.1929999999998,-112,-369,-208,-397,3858,-2641,937,1715,-655
37,2277.568,-26,-357,-223,-455,3995,-2429,982,1693,-673
38,2292.6600000000003,41,-419,-213,-555,4020,-2213,988,1687,-730
39,2307.582,129,-429,45,-650,4048,-2008,998,1640,-767
40,2324.42,157,-344,239,-638,3953,-1850,992,1626,-807
41,2341.85,259,-361,347,-669,3661,-1666,1006,1604,-868
42,2358.0879999999997,357,-368,374,-756,3099,-1485,978,1594,-898
43,2373.056,436,-470,390,-792,3115,-1228,958,1596,-901
44,2388.094,502,-607,433,-522,2781,-885,930,1574,-919
45,2403.123,465,-720,643,-614,2374,-612,936,1592,-918
46,2418.107,503,-717,715,-408,2004,-501,928,1592,-928
47,2433.115,596,-636,757,-223,1439,-379,901,1570,-958
48,2448.34,663,-577,707,-83,920,-221,911,1568,-968
49,2463.578,701,-628,786,-34,560,-102,873,1578,-968
50,2478.653,923,-869,823,130,583,15,877,1563,-965
51,2493.818,884,-816,845,584,857,115,867,1563,-982
52,2508.799,743,-593,801,818,593,226,865,1539,-1011
53,2523.8610000000003,758,-463,721,669,-92,251,832,1513,-1012
54,2538.835,900,-459,630,244,-628,152,850,1545,-1037
55,2555.7400000000002,1077,-589,443,-205,-746,46,856,1535,-1000
56,2571.953,1196,-664,447,-423,-418,-7,885,1541,-1008
57,2586.789,1166,-732,432,-393,-110,23,854,1545,-1002
58,2601.841,1101,-769,417,-253,103,40,844,1531,-1019
59,2616.875,1059,-735,452,-105,108,47,852,1545,-1011
60,2632.0899999999997,1028,-689,480,-8,22,45,856,1561,-1036
61,2647.1650000000004,1028,-677,259,-8,-38,15,848,1557,-1009
62,2662.264,1026,-672,514,-71,-30,-14,848,1551,-1007
63,2677.284,1009,-681,530,-98,12,-28,863,1563,-1024
64,2692.5,1000,-709,504,-97,9,-33,846,1557,-1000
65,2707.534,997,-693,499,-103,-33,-26,857,1566,-983
66,2722.751,1003,-674,503,-66,-64,-21,849,1562,-1033
67,2737.8650000000002,1003,-651,483,-72,-79,-30,847,1550,-1000
68,2753.046,1034,-655,466,-135,-77,-22,853,1564,-994
