,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,634.437,-1504,-289,-117,119,95,-71,-503,890,-705
1,651.125,-1485,-231,-141,125,5,-107,-479,874,-668
2,666.141,-1441,-183,-155,94,-59,-144,-503,896,-706
3,681.1469999999999,-1428,-136,-134,62,-39,-183,-508,876,-697
4,696.23,-1500,38,-146,76,-11,-209,-493,870,-699
5,711.31,-1578,193,-301,55,-68,-142,-477,872,-701
6,726.34,-1615,275,-334,-155,-171,-81,-485,874,-680
7,741.601,-1570,251,-328,-488,-157,-135,-495,902,-672
8,756.642,-1483,40,-388,-594,-72,-119,-481,900,-668
9,771.7610000000001,-1497,-93,-412,-361,-80,129,-489,902,-691
10,786.846,-1597,-79,-542,21,-144,381,-518,882,-701
11,801.952,-1637,-33,-667,284,-224,422,-489,888,-692
12,817.01,-1509,-163,-672,726,-188,391,-508,894,-683
13,832.189,-1388,-364,-513,1192,15,487,-512,857,-694
14,849.114,-1491,-406,-595,1621,381,713,-526,829,-682
15,864.634,-1634,-270,-821,2033,613,743,-522,799,-696
16,879.751,-1596,-176,-937,2224,745,635,-520,766,-679
17,895.4069999999999,-1459,-257,-988,2335,989,535,-503,768,-693
18,910.51,-1429,-483,-867,2387,1386,433,-524,750,-608
19,925.649,-1564,-714,-877,2278,1948,220,-528,730,-607
20,941.078,-1751,-813,-942,2149,2263,-7,-514,730,-536
21,956.173,-1767,-820,-935,2252,2135,-228,-546,734,-500
22,971.298,-1657,-895,-841,2391,1897,-428,-550,713,-479
23,986.423,-1596,-1081,-692,2608,1783,-745,-548,715,-447
24,1001.4559999999999,-1678,-1210,-433,2826,1934,-1032,-552,770,-400
25,1016.302,-1860,-1196,-320,3003,2071,-1316,-546,797,-364
26,1031.542,-1961,-1110,-203,3142,1899,-1570,-544,797,-338
27,1046.575,-1889,-1096,-77,3183,1470,-1958,-556,837,-317
28,1063.8049999999998,-1773,-991,71,3244,769,-2553,-530,914,-283
29,1080.448,-1654,-516,249,3035,486,-2543,-528,941,-285
30,1095.493,-1534,-567,414,2564,80,-2700,-503,969,-314
31,1110.6450000000002,-1355,-418,430,1904,-228,-2755,-501,1278,-313
32,1125.629,-1140,-309,435,1120,-438,-2710,-501,1100,-332
33,1140.8709999999999,-926,-244,348,384,-439,-2329,-471,1151,-318
34,1155.88,-797,-192,372,-114,-334,-2376,-493,1177,-335
35,1171.068,-807,-221,345,-464,-295,-1815,-471,1186,-354
36,1186.193,-788,-255,329,-633,-338,-1735,-453,1231,-330
37,1201.299,-765,-300,316,-646,-396,-1396,-443,1263,-324
38,1216.37,-774,-303,285,-625,-411,-1074,-416,1261,-312
39,1231.49,-782,-281,224,-588,-423,-840,-430,1277,-351
40,1246.524,-737,-415,91,-504,-540,-663,-447,1283,-328
41,1261.571,-691,-585,6,-400,-717,-507,-430,1320,-361
42,1278.6029999999998,-609,-689,-31,-256,-748,-388,-428,1324,-351
43,1295.365,-601,-795,-37,-197,-609,-291,-430,1324,-358
44,1310.526,-662,-863,-98,-193,-327,-203,-424,1330,-398
45,1326.094,-735,-885,-227,-146,-196,-144,-396,1334,-394
46,1341.432,-734,-950,-289,-49,-226,-110,-400,1322,-393
47,1356.472,-736,-975,-271,-43,-262,-82,-422,1316,-391
48,1371.509,-737,-1025,-260,-86,-211,-76,-404,1334,-387
49,1386.573,-723,-1066,-314,-108,-206,-43,-406,1314,-407
50,1401.682,-699,-1110,-353,-89,-296,-30,-392,1314,-417
51,1416.698,-653,-1109,-309,-72,-341,-82,-400,1314,-412
52,1431.777,-651,-1087,-245,-21,-9,-72,-396,1330,-404
53,1446.734,-670,-1109,-293,11,-172,2,-392,1318,-421
54,1461.941,-636,-1100,-283,-35,-168,39,-392,1320,-438
55,1479.024,-673,-1123,-208,-31,-189,34,-400,1308,-409
56,1495.4750000000001,-702,-1135,-200,24,-198,41,-408,1322,-407
57,1510.55,-734,-1108,-204,44,-186,47,-404,1310,-427
58,1525.761,-736,-1158,-225,-12,-188,29,-396,1306,-394
59,1541.0900000000001,-740,-1157,-194,-57,-240,-22,-406,1320,-430
60,1556.191,-731,-1152,-160,-81,-242,-47,-410,1312,-442
61,1571.3129999999999,-726,-1188,-127,-35,-172,-24,-410,1316,-422
62,1586.429,-775,-1164,-95,28,-105,2,-406,1291,-421
63,1601.4299999999998,-772,-1122,-100,58,-89,1,-402,1300,-436
64,1616.423,-756,-1145,-153,38,-107,15,-416,1308,-446
65,1631.4740000000002,-755,-1108,-132,30,-139,21,-406,1324,-432
66,1646.344,-745,-1113,-120,15,-141,36,-394,1320,-423
67,1661.4180000000001,-750,-1120,-87,26,-130,45,-424,1326,-443
68,1676.438,-783,-1136,-140,20,-96,69,-402,1314,-464
