,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,859.9879999999999,-1392,-371,-62,-322,43,3,-492,975,-634
1,876.181,-1397,-406,-3,-123,37,21,-488,989,-634
2,891.164,-1399,-376,10,26,-86,-29,-507,979,-638
3,905.933,-1379,-433,-1,22,-182,-181,-492,985,-653
4,922.193,-1380,-567,38,-97,-155,-265,-482,979,-641
5,937.159,-1438,-813,209,-92,-81,-218,-494,997,-657
6,952.123,-1447,-1047,298,120,-124,-152,-478,991,-653
7,967.078,-1465,-1158,324,420,-408,-162,-490,981,-647
8,982.1260000000001,-1475,-1169,289,776,-619,-236,-490,987,-706
9,997.182,-1486,-1195,266,1085,-579,-416,-472,953,-696
10,1011.944,-1636,-1298,406,1498,-608,-466,-470,983,-712
11,1026.8129999999999,-1782,-1328,476,1813,-964,-513,-474,973,-733
12,1041.786,-1809,-1331,546,1945,-1402,-713,-488,969,-741
13,1056.617,-1838,-1345,618,2035,-1638,-998,-466,973,-801
14,1073.432,-2079,-1307,585,2182,-1553,-1135,-425,963,-818
15,1089.922,-2273,-1201,457,2011,-1877,-1299,-423,971,-809
16,1104.8880000000001,-2365,-1231,424,1544,-2353,-1678,-421,959,-855
17,1119.9170000000001,-2312,-1298,337,1023,-2911,-2176,-401,1007,-953
18,1134.923,-2337,-1039,366,846,-3562,-2489,-342,1042,-986
19,1149.909,-2364,-1168,369,861,-3687,-2644,-315,1070,-1019
20,1164.86,-2459,-1043,396,878,-4011,-2975,-252,1070,-1076
21,1179.8519999999999,-2342,-1058,391,844,-4123,-3341,-226,1103,-1151
22,1195.031,-2216,-885,427,816,-4334,-3340,-175,1145,-1169
23,1209.99,-2206,-855,490,808,-4465,-3412,-25,1141,-1215
24,1224.912,-2108,-763,582,696,-4390,-3529,28,1178,-1255
25,1239.849,-1888,-649,663,555,-4227,-3569,83,1178,-1276
26,1254.796,-1701,-281,624,391,-3811,-3495,156,1187,-1304
27,1269.728,-1508,-454,452,308,-3306,-3328,471,1191,-1320
28,1286.739,-1373,-359,462,315,-2996,-3132,341,1178,-1308
29,1303.704,-1246,-303,449,398,-2892,-3006,357,1182,-1355
30,1318.632,-1031,-274,391,595,-2807,-2848,410,1154,-1329
31,1333.458,-830,-284,392,714,-2696,-2678,514,1141,-1338
32,1348.3700000000001,-688,-330,459,671,-2390,-2440,534,1133,-1338
33,1363.356,-651,-332,411,579,-1973,-2132,575,1121,-1321
34,1378.221,-594,-204,328,509,-1594,-1845,619,1111,-1337
35,1393.202,-476,-97,385,471,-1434,-1699,638,1093,-1354
36,1408.179,-373,-125,450,462,-1472,-1627,686,1082,-1340
37,1423.035,-297,-268,534,469,-1452,-1489,713,1082,-1338
38,1438.063,-194,-394,554,454,-1051,-1352,735,1044,-1338
39,1453.0529999999999,-86,-370,765,432,-781,-1174,755,1042,-1345
40,1468.0059999999999,7,-329,579,416,-818,-1011,755,1046,-1325
41,1482.9699999999998,64,-303,758,350,-752,-906,772,1013,-1354
42,1500.104,168,-354,845,292,-645,-767,780,1017,-1338
43,1515.981,229,-403,875,315,-532,-660,794,999,-1334
44,1530.837,264,-454,875,329,-467,-562,792,981,-1330
45,1545.838,305,-449,933,285,-386,-493,810,975,-1322
46,1560.807,351,-411,1009,219,-282,-437,831,971,-1308
47,1575.736,360,-377,1047,163,-132,-368,798,948,-1323
48,1590.675,347,-391,1042,104,-74,-319,824,948,-1314
49,1605.753,343,-434,1059,94,-95,-265,820,930,-1344
50,1620.6989999999998,355,-465,1065,111,-106,-236,810,922,-1317
51,1635.536,364,-471,1091,140,-34,-201,810,912,-1325
52,1650.671,397,-445,1121,135,32,-151,812,920,-1294
53,1665.6329999999998,399,-439,1128,92,71,-110,808,918,-1331
54,1680.582,398,-414,1127,41,79,-92,804,894,-1337
55,1695.4309999999998,375,-401,1137,8,55,-72,804,920,-1345
