,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-893,-751,-543,338,-13,205,-78,736,50
1,18.779,-1047,-953,-794,237,-63,133,-80,756,48
2,38.147,-1282,-1240,-834,156,-82,-29,-92,770,37
3,57.733,-1547,-1484,-783,434,66,-385,-80,766,76
4,76.82799999999999,-1674,-1604,-934,668,643,-928,-82,804,73
5,96.667,-1685,-1817,-992,618,1157,-1619,-82,855,113
6,115.68100000000001,-1638,-2190,-956,612,1618,-2159,-41,885,132
7,133.67200000000003,-1572,-2283,-748,1460,2082,-2586,-53,926,170
8,151.567,-1280,-1813,-699,2747,2386,-2984,6,1013,203
9,169.267,-1071,-1749,-709,2592,2439,-3394,58,1080,208
10,186.81,-842,-1610,-672,1653,2230,-3764,160,1189,225
11,204.58599999999998,-519,-1579,-701,764,1975,-4028,194,1222,257
12,222.494,-207,-1458,-638,386,1737,-4072,227,1317,252
13,240.382,-47,-1385,-571,718,1689,-4033,318,1352,238
14,258.219,1,-1119,-594,1127,1689,-4035,377,1368,295
15,275.945,18,-1178,-620,889,1567,-4142,506,1431,251
16,293.948,-13,-1215,-560,335,1377,-4194,551,1457,254
17,311.521,52,-1163,-570,328,1501,-4094,612,1494,234
18,329.258,46,-1012,-670,480,2042,-4061,735,1479,234
19,346.791,28,-876,-572,566,1984,-3945,790,1492,226
20,364.619,96,-894,-603,386,1949,-3708,916,1474,229
21,382.602,88,-787,-764,484,1790,-3095,975,1466,216
22,400.416,154,-808,-380,592,1723,-3065,1030,1443,132
23,418.241,254,-715,-385,514,1724,-2800,1096,1441,154
24,436.065,333,-635,-366,418,1620,-2692,1159,1429,113
25,454.098,425,-647,-226,30,1584,-2319,1234,1417,79
26,471.43600000000004,563,-861,-172,106,1631,-2353,1261,1378,85
27,489.24899999999997,594,-652,-117,382,1661,-2034,1289,1364,55
28,506.74399999999997,622,-498,-60,268,1645,-1880,1362,1358,32
29,524.572,699,-391,10,-94,1491,-1742,1390,1319,16
30,542.416,748,-310,77,-471,1399,-1602,1427,1299,-39
31,560.268,773,-532,7,-419,1511,-1356,1461,1259,-21
32,578.24,751,-412,220,-132,1403,-1011,1476,1242,-65
33,596.0530000000001,836,-486,380,-260,1503,-990,1504,1238,-84
34,613.966,961,-482,364,-842,1728,-1061,1518,1216,-106
35,631.512,1037,-469,240,-1093,1804,-1045,1559,1161,-134
36,649.282,1031,-462,235,-1127,1771,-986,1557,1153,-166
37,666.755,980,-121,247,-1190,1492,-890,1547,1119,-198
38,684.49,1074,-21,456,-1735,1218,-956,1601,1094,-179
39,702.444,1054,-133,994,-1665,1090,-845,1591,1094,-194
40,720.336,925,-604,1269,-1765,1323,-1073,1613,1025,-244
41,738.1229999999999,1046,-599,978,-1987,1756,-945,1609,1011,-233
42,755.6650000000001,903,-362,-139,-1897,1045,-515,1632,1003,-243
