,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-941,-762,382,576,298,25,-57,1043,62
1,18.799,-938,-878,676,907,546,68,-39,1076,83
2,37.044000000000004,-1031,-1056,659,1019,990,-60,-43,1051,99
3,55.303,-1354,-1228,492,1263,1165,-151,-31,1070,136
4,73.78999999999999,-1902,-1379,387,2004,940,-103,-13,1084,131
5,92.55,-2267,-1358,626,2440,279,-101,10,1142,90
6,111.00999999999999,-2483,-1184,768,2542,-174,-326,-17,1153,84
7,128.06500000000003,-2439,-1024,771,2054,-366,-671,-17,1183,72
8,145.072,-2323,-1011,257,1496,-249,-1023,-13,1215,48
9,162.079,-2210,-865,185,1411,-129,-1111,40,1236,47
10,179.135,-2048,-667,21,1348,-340,-1130,40,1274,-18
11,196.167,-1931,-587,246,1124,-965,-1039,36,1315,-43
12,213.307,-1718,-443,-227,961,-1179,-808,30,1313,-36
13,230.522,-1547,-326,-93,620,-1487,-653,46,1339,-104
14,247.48000000000002,-1447,-259,-223,8,-1847,-545,32,1349,-117
15,264.695,-1245,-303,-277,-68,-2311,-402,4,1353,-130
16,281.837,-1063,-582,-309,-333,-2567,-254,-19,1376,-229
17,298.958,-826,-814,-309,-265,-2608,-25,4,1371,-242
18,315.947,-680,-933,-269,8,-2072,243,-37,1382,-265
19,333.078,-599,-987,-509,326,-1912,573,-43,1345,-311
20,350.128,-516,-961,-230,429,-1484,813,-21,1342,-342
21,367.207,-430,-937,-206,425,-797,1017,-41,1325,-345
22,384.248,-350,-1003,-208,414,-673,1194,-61,1317,-386
23,401.33299999999997,-349,-1021,-176,546,-41,1378,-69,1290,-358
24,418.28,-363,-995,-100,840,24,1511,-90,1282,-378
25,435.201,-401,-915,-38,1073,282,1550,-73,1242,-385
26,452.201,-392,-859,-80,1164,498,1520,-108,1207,-369
27,469.158,-451,-837,-21,1151,635,1424,-108,1183,-393
28,486.148,-690,-830,516,1194,737,1359,-122,1167,-412
29,503.236,-863,-843,997,1325,1367,1194,-126,1143,-365
30,520.362,-836,-866,973,1583,2370,1016,-120,1143,-327
31,537.312,-772,-711,617,1602,2970,820,-138,1116,-263
32,554.403,-821,-602,355,1449,3098,771,-132,1104,-224
33,571.41,-891,-480,348,1269,2815,757,-120,1094,-162
34,588.365,-970,-473,281,1121,2668,630,-116,1079,-133
35,605.4580000000001,-1004,-553,251,1033,2540,464,-104,1075,-97
36,622.522,-1057,-629,306,1156,2403,332,-73,1073,-43
37,639.779,-1278,-876,386,1426,2470,167,-80,1088,-2
38,656.689,-936,-939,286,1876,2832,-92,-41,1100,23
39,673.8140000000001,-914,-729,80,2132,3233,-448,-27,1139,64
40,690.932,-978,-259,36,2160,3314,-815,52,1169,82
41,708.302,-1088,-466,106,1888,3262,-1185,79,1203,150
42,725.361,-1128,-629,145,1601,3157,-1544,97,1220,154
43,742.386,-1190,-818,8,1438,3066,-1791,178,1293,195
44,759.5880000000001,-1216,-1049,-234,1352,2781,-1968,218,1317,208
45,776.591,-1267,-990,-50,1571,2287,-2113,271,1349,196
46,793.75,-1489,-762,70,1680,2096,-2314,314,1372,220
47,810.855,-1582,-622,70,1535,1851,-2442,364,1430,191
48,828.016,-1484,-866,38,1166,1343,-2490,413,1447,195
49,844.911,-1336,-1158,-107,921,1069,-2560,449,1495,173
50,862.063,-1447,-781,-161,1092,709,-2501,498,1507,168
51,879.0400000000001,-1670,-656,-54,1278,432,-2421,535,1552,154
52,895.906,-1617,-705,4,1105,1,-2391,577,1566,140
53,913.205,-1449,-927,-212,1034,-646,-2154,591,1582,115
54,930.3979999999999,-1242,-1002,-178,791,-635,-2113,597,1605,95
55,947.376,-1302,-941,-129,1071,-810,-1728,642,1619,66
56,964.527,-1303,-532,-210,1004,-792,-1592,658,1621,57
57,981.7810000000001,-1287,-833,-92,249,-973,-1319,650,1690,20
58,999.605,-1217,-920,-485,533,-961,-785,656,1682,34
59,1017.5300000000001,-1127,-907,-558,912,-1131,-661,638,1657,25
60,1035.124,-1088,-1098,-517,846,-1245,-462,658,1666,38
61,1052.57,-995,-1190,-481,704,-1211,-341,660,1672,-18
62,1070.308,-840,-1156,-323,660,-1069,-232,658,1668,-22
63,1087.7740000000001,-789,-1042,-360,458,-886,-200,672,1682,-17
64,1105.563,-792,-1133,-390,-3,-1227,-281,652,1696,-49
65,1123.456,-650,-1243,-374,-446,-1526,-228,597,1734,-26
66,1141.342,-560,-1207,-364,-542,-1069,-190,581,1743,-26
67,1159.159,-680,-1023,-240,-394,-724,-39,593,1755,-37
68,1176.843,-712,-1100,-121,119,-375,32,583,1737,-29
69,1194.951,-643,-1226,-25,297,-184,51,585,1720,-11
70,1212.513,-646,-1301,254,111,242,45,608,1710,-34
71,1230.2649999999999,-658,-1293,23,-77,131,44,612,1694,-47
72,1247.83,-674,-1274,-4,-145,185,61,626,1696,-40
73,1265.522,-632,-1535,27,-91,202,75,610,1712,-23
74,1283.296,-630,-1256,68,15,154,97,614,1704,-25
75,1300.981,-603,-1247,37,154,125,118,628,1690,-17
76,1318.983,-586,-1258,53,146,57,123,634,1686,-16
77,1336.6260000000002,-587,-1269,62,95,16,104,652,1692,-60
78,1354.3639999999998,-605,-1267,56,23,18,79,650,1694,-43
79,1371.759,-639,-1270,78,60,1,77,638,1680,-64
80,1389.5949999999998,-667,-1225,114,52,-25,64,650,1670,-14
81,1407.2769999999998,-663,-1273,75,-18,-48,43,646,1686,-52
82,1425.089,-652,-1263,44,-85,-53,25,620,1684,2
83,1442.991,-647,-1260,28,-33,-53,20,624,1684,-40
84,1460.693,-650,-1253,38,-19,-63,24,642,1666,-13
85,1478.525,-648,-1244,30,-41,-83,34,632,1668,-58
86,1495.979,-644,-1248,52,-49,-71,37,618,1688,-44
