,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1189,-574,173,486,18,-38,-88,809,53
1,20.038,-1519,-605,162,616,24,-38,-96,817,50
2,39.353,-1451,-627,307,946,-103,-16,-98,846,56
3,58.958999999999996,-1576,-826,490,1317,-267,-84,-100,856,60
4,78.301,-1737,-972,269,2044,-316,-316,-106,888,-2
5,98.10000000000001,-1866,-995,266,2778,-381,-689,-100,907,-37
6,116.554,-1819,-1388,686,3052,-688,-1190,-114,982,-24
7,134.74800000000002,-1778,-1339,848,3337,-884,-1550,-126,1002,-52
8,152.341,-1781,-1207,1081,3360,-1211,-1946,-120,1091,-104
9,170.118,-1600,-1377,1203,2869,-1533,-2402,-124,1124,-109
10,188.118,-1234,-1481,1225,2554,-1642,-2730,-104,1168,-197
11,205.87199999999999,-1015,-1380,1166,2573,-1821,-2819,-86,1239,-216
12,223.633,-726,-1199,1153,2087,-2156,-2987,-69,1264,-285
13,241.334,-501,-1134,1176,1695,-2376,-3147,-9,1341,-367
14,259.467,-234,-988,1188,859,-2648,-3350,42,1377,-422
15,277.171,-108,-924,1123,259,-2330,-3726,79,1418,-441
16,295.567,63,-889,1019,-267,-2321,-4030,146,1495,-465
17,313.11,195,-1059,914,-113,-2249,-4164,190,1499,-514
18,330.914,145,-1006,719,258,-1817,-4250,292,1592,-548
19,348.48699999999997,217,-896,628,401,-1673,-4439,359,1613,-557
20,366.604,420,-691,750,-86,-1913,-4563,450,1611,-603
21,384.193,592,-791,852,-875,-1927,-4647,562,1659,-569
22,402.205,661,-1087,980,-1048,-1328,-4491,627,1668,-608
23,420.245,577,-1250,932,-520,-1116,-4090,738,1678,-556
24,438.123,685,-1066,995,358,-1255,-3419,773,1680,-589
25,456.293,809,-778,719,635,-895,-3041,834,1657,-591
26,473.974,780,-587,507,30,-181,-2739,915,1653,-610
27,491.75600000000003,718,-627,298,-807,142,-2415,925,1674,-605
28,508.929,713,-612,157,-478,-23,-1691,1010,1659,-593
29,526.0749999999999,613,-746,188,-332,-286,-945,1038,1649,-570
30,543.4409999999999,485,-781,291,-447,-600,-276,1016,1643,-566
31,560.616,394,-808,296,-1251,-681,47,1022,1657,-558
32,577.806,279,-1082,385,-1813,-351,233,1012,1668,-507
33,594.943,178,-1182,490,-1467,-39,644,1018,1676,-482
34,612.0649999999999,170,-993,188,-428,140,1142,980,1694,-475
35,629.187,30,-742,445,167,423,1780,947,1690,-485
36,646.3689999999999,-146,-567,168,204,599,1732,919,1730,-460
37,663.609,-347,-743,282,-323,406,1793,882,1706,-482
38,680.785,-352,-1091,432,-1072,405,1779,854,1714,-460
39,697.9159999999999,-284,-1286,413,-777,440,1826,844,1751,-444
40,715.1809999999999,-214,-1150,339,-101,487,1860,779,1724,-453
41,732.322,-266,-1124,344,43,487,1773,732,1749,-468
42,749.615,-265,-1167,654,88,277,1705,681,1730,-443
43,766.754,-333,-1194,930,201,244,1599,669,1722,-452
44,783.847,-249,-1268,832,243,328,1416,634,1734,-449
45,801.1239999999999,-508,-1119,658,369,279,1285,602,1720,-480
46,818.0229999999999,-206,-1122,662,398,126,1176,592,1739,-488
