,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1489,-1332,-25,673,359,-1050,-714,553,-388
1,17.641000000000002,-1618,-1456,-23,941,466,-1618,-767,561,-387
2,35.094,-1788,-1805,-77,1216,556,-2217,-801,575,-364
3,54.226000000000006,-2117,-2089,-52,1454,710,-3172,-848,651,-327
4,73.37299999999999,-2344,-2139,-58,1588,739,-4276,-875,675,-291
5,92.348,-2456,-2065,-35,1513,745,-4778,-923,790,-250
6,111.23700000000001,-2529,-2239,-189,1045,908,-5560,-956,859,-234
7,130.191,-2463,-2208,-312,945,1114,-6160,-964,1056,-209
8,148.897,-2329,-1912,-5,908,1297,-6465,-956,1182,-202
9,166.555,-2110,-1658,-193,845,1338,-6629,-927,1340,-182
10,184.459,-1926,-1614,-300,468,1422,-6798,-838,1454,-145
11,202.1,-1822,-1551,-291,186,1549,-6969,-773,1545,-129
12,219.768,-1715,-1478,-245,195,1656,-6974,-623,1697,-112
13,237.281,-1614,-1311,-266,419,1716,-6892,-536,1750,-85
14,255.057,-1489,-974,-167,551,1772,-6671,-435,1809,-88
15,272.953,-1324,-589,21,565,1795,-6472,-250,1880,-114
16,290.59000000000003,-1048,-627,-25,443,1824,-5915,-171,1892,-104
17,308.14200000000005,-857,-550,33,403,1876,-5670,-86,1888,-159
18,325.695,-742,-418,114,715,1877,-5429,101,1884,-142
19,343.579,-583,-75,275,1006,1757,-4853,164,1867,-177
20,361.089,-337,120,381,939,1641,-4279,219,1792,-216
21,378.045,-96,58,401,676,1565,-3672,336,1768,-221
22,394.826,21,135,470,996,1520,-2951,365,1754,-226
23,412.499,117,288,686,950,1426,-2245,401,1699,-310
24,430.207,468,491,769,957,1113,-1304,415,1685,-322
25,448.091,756,391,806,510,951,-993,432,1673,-320
26,465.252,818,150,843,58,801,-494,458,1655,-317
27,482.495,830,-33,820,-15,624,-104,446,1671,-331
28,499.87100000000004,811,-299,807,51,419,68,411,1669,-330
29,516.6650000000001,823,-383,790,-251,248,113,409,1693,-374
30,533.629,863,-543,738,-502,119,67,405,1697,-319
31,551.6,942,-655,716,-420,32,-4,417,1681,-345
32,569.13,991,-664,700,-342,-32,-99,409,1693,-319
33,586.684,1012,-600,704,-116,-61,-158,397,1691,-343
34,604.386,1029,-488,719,-32,-74,-169,403,1679,-344
35,622.05,1054,-481,711,-214,-55,-157,405,1697,-334
36,639.5110000000001,1048,-526,719,-339,-34,-112,411,1691,-306
37,656.929,1001,-567,766,-249,-24,-41,407,1689,-340
38,674.572,980,-523,762,-60,-27,43,393,1695,-327
39,692.1429999999999,970,-521,739,-16,-13,81,407,1697,-328
40,709.883,976,-599,745,-131,-3,90,405,1693,-335
41,727.5840000000001,993,-627,773,-187,-12,79,407,1697,-325
42,744.435,990,-612,514,-83,-26,68,411,1709,-326
43,762.147,1000,-551,730,83,-42,72,411,1697,-326
44,779.766,1062,-479,699,159,-43,82,397,1705,-317
45,797.408,1066,-453,693,91,-33,82,403,1699,-324
46,814.239,1038,-497,742,-58,-34,57,385,1705,-339
47,831.866,1003,-540,760,-119,-51,48,395,1701,-340
48,848.957,1002,-531,727,252,-73,49,403,1695,-330
49,866.319,1028,-486,692,105,-84,58,387,1703,-359
50,883.8190000000001,1040,-472,643,112,-61,75,399,1687,-317
51,901.335,1039,-468,703,23,-38,72,385,1721,-325
52,918.9159999999999,1008,-532,740,-100,-29,49,381,1703,-332
53,936.0600000000001,996,-573,745,-186,-35,42,393,1681,-312
54,953.759,1036,-572,722,-120,-46,44,395,1711,-325
55,971.084,1042,-558,717,243,-48,48,391,1701,-309
56,988.769,1027,-510,733,78,-29,49,383,1715,-329
57,1006.3180000000001,1012,-506,728,44,-26,50,362,1695,-308
58,1023.8830000000002,1015,-538,725,-56,-11,44,397,1711,-335
59,1041.695,1019,-579,736,-97,-16,39,369,1695,-326
60,1058.92,1031,-570,729,-59,-16,34,385,1711,-328
61,1076.537,1018,-571,720,7,-23,36,365,1691,-342
62,1094.363,1014,-550,720,65,-21,36,365,1691,-343
63,1111.439,1019,-521,710,73,-15,28,371,1709,-356
64,1129.008,1015,-496,712,11,-7,20,387,1703,-346
65,1146.315,1011,-530,720,-62,-5,20,371,1691,-344
66,1163.8059999999998,1005,-565,716,-44,-20,17,363,1715,-338
67,1181.1970000000001,1013,-539,739,-12,-27,18,375,1691,-332
68,1198.493,1013,-507,742,27,-37,13,393,1702,-343
69,1216.052,1020,-499,716,-16,-42,8,369,1688,-337
70,1233.805,1016,-524,716,-57,-31,13,375,1694,-355
71,1251.418,1023,-525,719,-42,-28,28,360,1697,-351
72,1269.11,1016,-526,708,-15,-26,30,375,1687,-329
73,1286.252,1016,-765,732,-18,-28,30,383,1687,-343
74,1303.675,1025,-530,718,-73,-32,17,381,1695,-346
75,1321.337,1031,-544,718,-136,-28,5,389,1697,-355
76,1338.817,1277,-552,740,-113,-31,9,371,1691,-308
77,1356.3,1012,-558,730,-46,-37,16,381,1695,-331
78,1374.0330000000001,1015,-535,726,14,-45,19,381,1709,-335
79,1391.607,1030,-528,707,53,-49,30,387,1715,-299
80,1409.1860000000001,1031,-535,708,27,-36,17,381,1703,-331
81,1426.6879999999999,1016,-570,703,-41,-26,-3,373,1693,-357
82,1444.482,1005,-577,706,-49,-17,-14,389,1683,-337
83,1462.0539999999999,1015,-553,713,31,-12,-13,362,1681,-332
84,1479.822,1018,-496,724,155,-6,253,389,1689,-289
85,1497.2,1032,-438,741,165,-4,10,387,1689,-354
