,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1363,23,203,-53,-18,-58,-650,308,-300
1,18.136,-1367,25,214,-43,-13,-47,-657,308,-295
2,35.939,-1357,37,200,-29,-13,-36,-655,312,-295
3,53.477,-1352,43,193,-32,-18,-34,-655,306,-333
4,70.99600000000001,-1361,27,174,-44,-14,-27,-636,335,-308
5,88.897,-1353,34,177,-38,-19,-19,-648,324,-315
6,106.575,-1345,23,180,-29,-21,-16,-657,314,-287
7,124.521,-1344,27,182,-16,-12,-10,-648,310,-297
8,142.66400000000002,-1358,22,185,-11,-3,-7,-653,314,-304
9,160.50900000000001,-1363,24,181,-12,13,3,-642,318,-295
10,178.324,-1377,29,166,-23,15,-3,-646,316,-300
11,196.09799999999998,-1379,19,177,-39,17,-12,-660,312,-313
12,213.844,-1372,17,187,-47,15,-21,-648,322,-290
13,231.482,-1362,15,196,-48,17,-26,-642,318,-287
14,248.729,-1353,27,198,-35,22,-27,-657,318,-303
15,266.435,-1359,18,213,-38,20,-21,-663,314,-294
16,284.303,-1357,15,201,-35,19,-18,-638,320,-288
17,302.008,-1370,4,197,-32,12,-14,-652,322,-301
18,319.59,-1366,22,198,-30,4,-27,-656,316,-302
19,337.39799999999997,-1361,22,208,-34,255,-26,-670,314,-290
20,355.22700000000003,-1373,22,204,-28,-3,-17,-647,322,-321
21,373.14599999999996,-1354,26,199,-34,-4,-7,-652,308,-290
22,390.594,-1366,22,207,-38,0,-9,-661,333,-265
23,408.419,-1364,16,197,-28,-9,-17,-638,324,-279
24,426.15500000000003,-1357,28,199,-18,-9,-12,-644,316,-290
25,443.927,-1360,24,193,-21,-10,4,-640,320,-307
26,461.577,-1360,21,192,-24,-12,13,-658,318,-301
27,479.608,-1363,5,184,-25,-16,16,-652,316,-277
28,498.71900000000005,-1358,0,177,-9,-18,-9,-646,320,-306
29,517.4830000000001,-1368,7,176,13,-20,-23,-646,308,-317
30,536.3059999999999,-1362,12,179,2,-18,-13,-648,318,-299
31,555.218,-1366,7,176,-16,-7,7,-661,296,-304
32,574.412,-1359,-1,182,-12,-9,21,-638,304,-301
33,592.088,-1366,-4,181,-7,-8,0,-663,308,-277
34,611.534,-1373,254,183,11,-9,-23,-654,294,-283
35,630.0310000000001,-1365,1,181,11,-4,-39,-644,320,-316
36,647.448,-1373,13,187,1,1,-23,-634,300,-263
37,665.25,-1366,9,191,-16,1,0,-640,300,-302
38,683.406,-1366,-9,171,-14,-6,9,-661,304,-279
39,700.905,-1347,-2,183,23,-8,-15,-656,308,-293
40,718.6519999999999,-1358,12,201,69,-8,-33,-656,308,-282
41,736.305,-1368,21,185,78,-3,-35,-636,314,-282
42,754.0,-1367,9,181,95,253,2,-628,296,-278
43,771.614,-1371,19,190,78,7,18,-656,314,-276
44,789.179,-1352,10,194,67,1,21,-654,288,-276
45,806.8729999999999,-1348,2,188,65,-5,11,-663,310,-262
46,824.0889999999999,-1345,26,200,73,-10,-16,-628,294,-263
47,841.539,-1343,26,192,54,-12,-21,-656,314,-288
48,859.059,-1356,24,175,38,-15,-24,-652,302,-291
49,876.399,-1359,31,182,16,-17,-24,-650,288,-261
50,894.146,-1363,28,175,-1,-20,-42,-663,280,-283
51,911.73,-1359,34,165,2,-18,-48,-646,294,-253
52,929.493,-1373,40,166,9,-10,-43,-656,296,-257
53,946.4540000000001,-1376,46,156,18,-6,-31,-663,290,-270
54,964.831,-1374,33,165,14,9,-4,-671,282,-268
55,982.336,-1367,39,171,20,15,25,-640,294,-257
56,999.7779999999999,-1371,17,181,25,24,39,-648,292,-254
57,1017.4490000000001,-1373,11,168,26,27,38,-636,294,-275
58,1035.345,-1361,-4,179,34,20,28,-642,276,-246
59,1053.0720000000001,-1364,7,181,29,25,28,-661,298,-284
60,1070.5720000000001,-1368,6,185,15,13,24,-645,280,-458
61,1087.982,-1371,0,184,13,13,25,-661,261,-263
62,1105.356,-1379,252,203,6,7,22,-648,300,-273
63,1123.105,-1396,10,193,3,-6,3,-671,286,-246
64,1140.6860000000001,-1380,18,189,-9,-3,-20,-650,276,-265
65,1158.4289999999999,-1364,29,190,-26,-14,-29,-648,268,-258
66,1175.446,-1363,32,191,-39,-21,-27,-648,278,-245
67,1193.3039999999999,-1352,38,182,-38,-33,-22,-646,286,-241
68,1210.8909999999998,-1354,33,180,-46,-39,-19,-646,286,-277
69,1228.615,-1350,33,177,-33,-37,-26,-644,284,-263
70,1246.332,-1352,46,165,-23,-39,-19,-640,266,-264
71,1264.165,-1359,43,157,-22,-34,-12,-657,272,-265
72,1281.745,-1371,50,162,-31,-31,-3,-642,253,-264
73,1299.077,-1366,44,159,-50,-21,4,-652,290,-293
74,1316.668,-1358,46,163,-70,-19,5,-654,276,-289
75,1334.412,-1359,21,159,-66,-15,2,-632,266,-262
76,1352.164,-1371,22,158,-63,-12,-2,-634,284,-284
77,1369.7520000000002,-1349,31,166,-63,-5,-1,-646,276,-268
78,1386.7069999999999,-1360,31,175,-80,0,4,-652,280,-253
79,1403.5010000000002,-1365,26,170,-100,1,10,-642,298,-252
80,1421.537,-1367,16,183,-115,-4,7,-632,278,-239
81,1439.146,-1360,14,190,-115,-5,-7,-632,284,-260
82,1456.633,-1363,31,183,-101,-4,-12,-648,286,-261
83,1474.5230000000001,-1366,27,188,-96,-5,-3,-646,288,-262
84,1492.199,-1370,30,198,-87,-6,21,-652,276,-272
