,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1309,62,419,-103,-92,-18,-606,172,-245
1,19.796999999999997,-1304,71,415,-118,-88,-14,-595,166,-249
2,38.716,-1353,37,455,-103,-89,-7,-630,158,-264
3,57.741,-1385,66,503,39,-119,-33,-626,164,-246
4,76.82300000000001,-1404,116,498,145,-158,-89,-594,164,-248
5,95.91900000000001,-1427,115,394,212,-213,-171,-622,164,-246
6,115.371,-1552,41,352,367,-222,-316,-614,192,-218
7,134.226,-1702,-4,380,739,-227,-534,-626,176,-223
8,152.086,-1761,6,315,1130,-264,-813,-626,170,-188
9,169.69699999999997,-1795,114,153,1427,-285,-1115,-650,198,-208
10,187.752,-1806,37,-102,1651,-280,-1304,-652,209,-163
11,205.407,-1861,-134,-256,1976,-181,-1417,-699,217,-124
12,223.06,-1911,-147,-180,2628,-72,-1450,-721,215,-90
13,240.71,-1541,-23,-45,3011,-31,-1399,-725,221,-59
14,258.432,-1572,60,9,3105,-19,-1319,-766,243,7
15,276.368,-1360,1,-2,2887,47,-1238,-764,213,53
16,294.33799999999997,-1291,-181,49,2680,193,-1171,-774,1,100
17,312.108,-1274,-264,156,2597,335,-1117,-811,247,139
18,329.718,-1234,-218,120,2512,461,-1058,-819,286,143
19,347.483,-1137,-72,116,2211,618,-1021,-827,312,228
20,365.31,-1059,-57,176,1754,755,-1010,-845,333,243
21,382.99499999999995,-1139,-316,293,1390,832,-983,-843,345,281
22,400.68,-1213,-495,312,1366,822,-943,-872,404,312
23,418.432,-1235,-347,343,1368,856,-867,-882,418,338
24,435.521,-1241,-245,350,1149,852,-839,-896,442,392
25,454.169,-1277,-106,470,716,872,-906,-908,471,407
26,472.071,-1375,-295,461,-44,844,-958,-902,485,433
27,489.652,-1440,-573,320,-316,737,-908,-918,519,432
28,507.61500000000007,-1437,-400,355,-108,632,-839,-920,515,456
29,525.433,-1424,-173,449,-63,595,-828,-927,540,423
30,543.2479999999999,-1381,-164,431,-131,507,-795,-927,581,456
31,561.163,-1281,-225,365,-11,390,-710,-933,583,467
32,578.8729999999999,-1367,-640,362,452,324,-687,-931,629,477
33,596.7320000000001,-1344,-564,356,1018,246,-735,-951,631,492
34,614.4309999999999,-1225,-360,389,1111,169,-803,-953,651,502
35,632.171,-1086,-327,421,1010,154,-957,-971,706,517
36,649.9639999999999,-1024,-439,402,794,139,-1175,-957,706,525
37,667.781,-1067,-661,295,573,158,-1341,-963,753,527
38,685.587,-1082,-605,310,539,175,-1439,-983,796,536
39,703.2570000000001,-1068,-375,452,267,159,-1455,-983,816,541
40,720.821,-1108,-180,430,346,93,-1380,-973,873,569
41,738.46,-1055,-283,236,-71,-77,-1256,-979,899,514
42,755.961,-1056,-341,107,-370,-87,-1143,-977,919,544
43,773.783,-1137,-435,177,-506,-105,-1006,-979,928,545
44,791.57,-1223,-374,402,-516,-117,-822,-983,954,549
45,809.24,-1254,-251,412,-764,-156,-657,-998,958,519
46,827.022,-1149,-427,237,-832,-194,-543,-998,980,513
47,844.6329999999999,-1142,-699,170,-937,-167,-527,-1008,974,533
48,862.4309999999999,-1164,-657,239,-440,-128,-453,-1004,999,547
49,880.133,-1206,-602,162,-43,-128,-330,-1006,989,528
50,898.064,-1185,-628,97,-41,-117,-322,-1022,1023,536
51,916.0,-1157,-639,-29,-146,-82,-349,-996,1029,492
52,933.77,-1121,-672,-49,-131,-28,-349,-992,1009,507
53,951.379,-1171,-796,-58,-37,49,-242,-1006,1021,510
54,969.195,-1201,-969,-64,76,117,-214,-1006,1051,510
55,987.0759999999999,-1141,-833,-19,238,195,-249,-1006,1039,510
56,1005.09,-1085,-604,57,10,272,-244,-990,1074,524
57,1022.947,-1064,-805,54,61,286,-184,-981,1068,520
58,1040.7079999999999,-1091,-1042,-12,-34,282,-207,-996,1070,529
59,1058.154,-1066,-853,28,188,303,-188,-985,1070,545
60,1075.882,-1050,-685,206,281,331,-119,-973,1068,539
61,1093.781,-1127,-666,372,249,313,-23,-971,1082,528
62,1111.271,-1094,-754,287,75,174,21,-981,1082,553
63,1128.6979999999999,-1087,-891,134,-38,74,-4,-983,1088,556
64,1146.259,-1132,-797,181,17,49,4,-968,1077,565
65,1164.188,-1140,-743,337,50,22,53,-970,1095,547
66,1182.11,-1160,-773,376,29,-61,74,-970,1081,552
67,1199.731,-1087,-774,277,-16,-163,55,-977,1094,560
68,1217.6180000000002,-1063,-811,164,-81,-212,54,-985,1061,544
69,1235.429,-1055,-889,129,-231,-225,65,-987,1074,556
70,1252.84,-1071,-905,92,-275,-235,88,-963,1048,539
71,1270.704,-1114,-807,136,-172,-239,68,-977,1047,541
72,1288.109,-1059,-792,108,-169,-246,42,-961,1065,520
73,1305.918,-1279,-839,14,-193,-193,13,-983,1071,524
74,1323.715,-1041,-964,-24,-252,-107,-11,-987,1053,520
75,1341.473,-1107,-1003,-15,-66,-43,22,-967,1066,531
76,1359.302,-1135,-900,87,119,252,41,-982,1068,526
77,1377.3029999999999,-1153,-811,105,133,6,21,-982,1035,538
78,1394.922,-1109,-834,87,19,-18,-16,-991,1037,497
79,1412.798,-1117,-924,95,-97,-23,-13,-977,1053,497
80,1430.6129999999998,-1146,-999,126,-161,-24,-32,-979,1031,505
81,1448.394,-1157,-885,155,-98,-26,-73,-961,1043,535
82,1466.262,-1095,-714,191,4,-39,-87,-957,1043,522
83,1484.1819999999998,-1049,-747,147,-34,-71,-38,-975,1055,510
