,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1387,-668,290,-603,-143,-712,-821,607,-370
1,21.688,-1465,-1064,379,-508,-107,-953,-811,642,-384
2,43.018,-1436,-1088,482,668,-327,-1104,-833,660,-392
3,64.17,-1286,-743,693,1342,-440,-1187,-809,660,-416
4,85.25399999999999,-1151,-691,1030,992,-434,-1369,-815,686,-391
5,106.42999999999999,-991,-1254,1163,216,-1011,-1501,-851,719,-395
6,127.76899999999999,-746,-1392,1269,792,-965,-1411,-835,719,-422
7,147.484,-504,-895,1648,1715,-1114,-1450,-811,692,-437
8,167.05700000000002,-384,-1224,1802,1323,-1254,-1718,-805,710,-465
9,186.882,-398,-1775,1798,1130,-1637,-2011,-797,759,-472
10,206.31199999999998,-446,-1516,1773,1618,-1875,-2272,-777,753,-486
11,225.895,-509,-1146,1913,2080,-2187,-2507,-722,733,-541
12,245.441,-524,-1303,2087,1719,-2611,-2850,-700,751,-542
13,264.867,-457,-1456,2011,1554,-3046,-3173,-639,781,-613
14,283.94399999999996,-2,-1197,1998,1990,-3405,-3280,-624,759,-648
15,304.548,-118,-877,2056,2320,-3494,-3224,-513,735,-709
16,324.07599999999996,-47,-969,2043,2393,-3378,-2913,-481,711,-726
17,343.757,21,-773,1921,2737,-3245,-2596,-371,664,-788
18,363.06300000000005,177,-657,1750,3211,-3184,-2250,-341,599,-769
19,382.641,305,-407,1675,3131,-3060,-1991,-223,512,-759
20,402.26099999999997,502,-323,1511,2977,-2775,-1338,-217,472,-513
21,422.093,422,-372,1507,2574,-2056,-600,-136,384,-707
22,441.943,110,-416,1478,2468,-1777,-54,-100,332,-692
23,461.351,20,-252,1127,2023,-1365,298,-49,261,-668
24,481.06100000000004,75,-94,741,1456,-924,616,-31,237,-682
25,499.861,105,153,550,1066,-246,1103,46,196,-661
26,519.9970000000001,-299,37,701,938,539,1626,58,206,-627
27,539.722,-982,-43,571,995,1506,2147,85,170,-590
28,559.1120000000001,-1073,186,-13,554,2033,2430,80,161,-591
29,578.254,-1401,225,62,17,2742,2722,87,143,-586
30,598.9499999999999,-2563,105,552,-172,3530,3147,48,168,-612
31,620.05,-1818,-331,994,-272,3232,2371,24,166,-606
32,639.7760000000001,-31,-1352,1208,-1447,1812,1328,-39,208,-638
33,659.066,318,247,695,-2483,-89,-777,-15,243,-676
34,678.8009999999999,-378,381,1078,-1449,-587,-756,-25,273,-708
35,698.345,-341,102,1102,1068,-405,20,18,263,-670
36,717.131,119,139,797,2066,-515,20,32,168,-648
37,736.546,232,460,822,2008,-133,-14,46,147,-619
38,756.227,37,286,1041,832,152,30,62,131,-594
39,775.98,-10,109,1243,-55,173,-39,40,115,-587
40,795.574,96,105,1407,-738,154,-89,10,135,-631
41,815.154,133,129,1499,-645,127,-105,36,141,-616
42,834.863,85,-14,1524,-439,101,-25,-15,145,-637
43,854.5899999999999,125,-3,1448,46,35,-1,12,174,-608
44,874.107,106,43,1461,319,27,11,22,160,-584
45,893.065,36,253,1514,395,31,45,24,145,-595
46,912.871,67,74,1446,376,-8,18,6,131,-583
47,932.2040000000001,125,64,1367,142,-49,-5,-19,145,-607
48,951.187,69,46,1381,-54,254,-19,18,129,-602
49,971.889,63,18,1460,-172,-7,-41,34,145,-592
50,991.775,65,0,1438,-202,-47,-56,30,133,-603
51,1011.1730000000001,74,47,1371,-73,-96,-57,20,139,-606
52,1031.0490000000002,90,65,1361,86,-109,-32,8,123,-599
53,1050.482,88,57,1391,120,-68,-22,10,113,-587
54,1070.249,107,78,1358,127,-56,-21,30,127,-592
55,1089.9080000000001,113,132,1307,115,-38,-25,8,129,-581
56,1109.197,115,143,1324,-251,250,-23,26,139,-577
57,1128.442,82,75,1408,-103,25,-11,36,115,-573
58,1147.612,91,77,1402,-49,26,-10,6,103,-599
59,1166.611,121,111,1379,0,18,-9,36,123,-583
60,1186.9350000000002,116,47,1396,-53,25,-2,-11,111,-590
61,1206.7810000000002,94,50,1414,-45,23,-13,4,115,-566
62,1226.587,73,52,1421,-10,18,-1,4,143,-586
63,1246.194,87,38,1412,-5,20,-7,-1,121,-565
64,1265.527,88,40,1389,-26,-7,-34,4,129,-593
65,1285.074,83,64,1408,-96,-6,-63,12,129,-583
66,1306.21,77,35,1418,-141,-24,-74,-9,125,-602
67,1325.934,84,58,1381,-119,-52,-92,8,143,-558
68,1345.4489999999998,100,62,1371,-134,-51,-90,4,103,-582
69,1365.212,72,17,1381,-149,-35,-85,-5,135,-584
70,1384.233,79,69,1364,-110,-37,-102,-7,133,-578
71,1403.988,101,112,1330,-139,-42,-120,-29,123,-573
72,1423.5169999999998,117,91,1290,-179,-24,-84,-1,123,-578
73,1443.011,85,88,1362,-80,29,-50,-9,149,-599
74,1462.5379999999998,59,63,1390,20,22,-26,-1,131,-608
75,1481.7340000000002,94,112,1367,17,-5,-44,-19,109,-588
