,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,482.072,-1534,-592,1277,929,-212,-506,-197,571,-551
1,498.295,-1279,-507,1130,1109,-321,-672,-201,577,-558
2,513.258,-1280,-349,1211,1525,-404,-821,-217,598,-566
3,528.6220000000001,-1379,-264,1413,1405,-516,-973,-205,612,-597
4,543.8309999999999,-1452,-221,1586,1310,-686,-1109,-234,628,-624
5,558.778,-1568,-302,1535,1123,-1005,-1170,-215,652,-637
6,573.9830000000001,-1592,-220,1483,1064,-1272,-1118,-224,654,-650
7,589.062,-1705,98,1456,1082,-1480,-910,-244,675,-663
8,604.3960000000001,-1774,318,1444,935,-1813,-493,-209,675,-687
9,619.424,-1814,406,1313,622,-2186,-85,-189,677,-718
10,636.3290000000001,-1807,329,927,276,-2364,266,-197,661,-774
11,652.495,-1752,298,603,124,-2369,589,-132,650,-784
12,667.529,-1664,162,9,92,-2273,849,-104,634,-832
13,682.714,-1587,-101,-137,290,-2042,1274,-104,604,-873
14,697.742,-1482,-140,-360,783,-1552,1089,-76,592,-901
15,712.835,-1358,-213,-542,1218,-987,1165,-35,529,-877
16,727.61,-1242,-367,-646,1479,-320,1193,-23,506,-873
17,742.6279999999999,-1107,-565,-690,1642,367,1183,-17,452,-913
18,757.649,-995,-696,-632,1845,1041,1164,30,435,-843
19,772.625,-947,-772,-445,2062,1681,1063,34,409,-811
20,789.6769999999999,-922,-765,-182,2213,2415,828,-27,346,-726
21,805.928,-899,-667,14,1799,2973,560,-13,340,-665
22,820.9060000000001,-956,-872,307,1734,3333,279,-27,328,-603
23,836.133,-1020,-1123,606,1458,3500,-52,-59,318,-562
24,851.116,-1110,-1366,783,1265,3558,-380,-61,330,-457
25,866.0219999999999,-1134,-1235,898,1238,3434,-807,-76,399,-432
26,881.0980000000001,-1160,-1216,1066,1297,3223,-1257,-104,403,-375
27,896.079,-1169,-1125,1245,1408,2963,-1978,-136,432,-309
28,911.161,-1185,-994,1320,1318,2682,-2173,-138,474,-246
29,926.154,-1239,-880,1341,1225,2068,-2802,-134,515,-201
30,942.98,-1217,-768,1278,1199,1894,-2919,-183,614,-140
31,959.6,-1260,-719,1175,1163,1560,-3257,-161,655,-101
32,974.4399999999999,-1337,-647,1149,1145,1189,-3463,-173,722,-113
33,990.212,-1521,-447,1201,1172,805,-3617,-187,1022,-74
34,1006.3100000000001,-1611,-228,1300,1146,432,-3658,-197,871,-73
35,1021.476,-1636,-189,1268,922,39,-3612,-173,930,-103
36,1036.649,-1603,-191,1129,648,-365,-3505,-151,959,-91
37,1051.7540000000001,-1670,-235,907,367,-658,-3342,-171,991,-88
38,1066.786,-1711,-170,883,203,-915,-3150,-134,1048,-127
39,1081.8190000000002,-1738,-119,924,1,-1138,-2914,-104,1117,-166
40,1098.695,-1734,-272,725,-319,-1377,-2657,-126,1157,-169
41,1114.344,-1722,-361,613,-378,-1602,-2404,-120,1188,-193
42,1129.758,-1878,-243,525,-239,-1790,-2069,-96,1194,-222
43,1144.5890000000002,-1533,-26,556,-374,-2201,-1555,-88,1265,-234
44,1159.597,-1283,-99,389,-567,-2152,-1314,-126,1271,-235
45,1174.411,-1154,-337,310,-719,-2057,-1061,-122,1289,-262
46,1189.444,-1308,-519,254,-802,-1804,-775,-116,1289,-278
47,1204.5030000000002,-1289,-251,267,-711,-1750,-471,-96,1309,-289
48,1219.723,-1198,-372,383,-776,-1757,-321,-126,1318,-328
49,1234.8799999999999,-1186,-430,222,-646,-1715,-26,-114,1324,-345
50,1251.831,-1018,-616,309,-1262,-2705,373,-126,1322,-351
51,1267.8100000000002,-916,-953,106,-1259,-3085,566,-163,1348,-401
52,1282.983,-871,-818,-1161,-1844,-2941,-16,-153,1358,-454
53,1297.913,-1086,-1743,-349,-1926,-1729,-41,-155,1340,-442
54,1313.143,-947,-1426,185,-1136,-848,-270,-175,1358,-494
55,1328.141,-851,-910,445,10,8,-248,-165,1401,-469
56,1343.327,-870,-880,638,171,261,17,-159,1366,-440
57,1358.107,-821,-1007,731,111,145,99,-149,1350,-466
58,1373.323,-766,-1110,620,-170,115,144,-161,1360,-454
59,1388.4019999999998,-729,-1307,573,-401,224,91,-132,1328,-432
60,1405.289,-618,-1209,273,-195,180,-43,-142,1334,-430
61,1421.635,-606,-1098,423,-122,62,-90,-157,1352,-381
62,1436.6760000000002,-618,-1076,393,-69,35,-65,-157,1330,-409
63,1451.856,-603,-1086,468,-62,70,249,-144,1338,-421
64,1466.743,-631,-1107,507,-62,91,18,-140,1352,-416
65,1481.71,-673,-1149,464,-68,40,-6,-163,1332,-418
66,1496.787,-676,-1111,432,-4,7,-28,-165,1334,-431
67,1511.864,-680,-1081,424,36,-1,-40,-151,1354,-453
68,1526.939,-683,-1083,461,44,-6,-28,-169,1348,-430
69,1542.102,-678,-1120,493,17,-2,-9,-140,1348,-417
