,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1241,-603,69,-45,-8,21,62,1263,-773
1,15.982,-1238,-599,84,-16,-19,27,38,1293,-780
2,31.858999999999998,-1224,-602,108,27,-32,34,50,1273,-747
3,48.027,-1223,-596,102,45,-29,40,36,1259,-776
4,64.119,-1217,-667,70,67,-28,45,28,1289,-755
5,80.989,-1204,-746,63,179,-2,44,42,1271,-782
6,96.964,-1172,-1018,96,277,43,59,42,1255,-767
7,112.86699999999999,-1180,-901,250,334,76,24,12,1249,-782
8,128.83,-1213,-995,477,538,71,-88,40,1239,-1022
9,143.927,-1325,-1153,623,836,8,-150,-7,1230,-779
10,158.932,-1385,-1408,668,1356,-172,-327,38,1234,-806
11,174.034,-1467,-1578,708,1968,-392,-525,40,1228,-819
12,189.01000000000002,-1570,-1733,911,2343,-587,-919,50,1228,-817
13,203.997,-1761,-1566,1108,2812,-760,-1349,67,1214,-887
14,220.84500000000003,-1900,-1327,1350,2488,-1035,-1753,101,1218,-914
15,236.294,-1953,-1557,1313,1914,-1437,-2156,125,1237,-940
16,251.11,-1899,-1818,1263,1568,-1964,-2585,170,1237,-999
17,265.994,-1960,-1984,1237,2002,-2442,-2917,192,1243,-1033
18,280.901,-2006,-1883,1245,2154,-2853,-3162,270,1237,-1056
19,295.709,-2028,-1681,1244,2351,-3234,-3389,304,1237,-1146
20,310.844,-2001,-1567,1220,1826,-3634,-3610,452,1222,-1156
21,325.681,-1961,-1551,1121,1677,-3971,-3722,511,1206,-1184
22,340.68399999999997,-1870,-1760,945,1560,-4259,-3830,589,1206,-1190
23,355.693,-1817,-1424,945,1744,-4497,-3849,658,1186,-1221
24,370.653,-1768,-1026,903,2022,-4574,-3804,735,1155,-1224
25,386.13599999999997,-1748,-1144,855,2105,-4568,-3680,865,1109,-1205
26,400.84700000000004,-1758,-1065,708,1965,-4454,-3538,901,1068,-1217
27,415.728,-1728,-1002,568,1846,-4377,-3362,971,1030,-1221
28,433.013,-1613,-829,384,1905,-4312,-3120,1040,993,-1186
29,448.335,-1520,-788,1,2111,-4248,-2900,1076,906,-1125
30,463.214,-1406,-627,173,2286,-4158,-2669,1200,861,-1136
31,477.968,-1313,-503,126,2271,-3957,-2440,1228,822,-1112
32,493.176,-1034,-384,-95,2124,-3665,-2213,1251,790,-1098
33,508.96799999999996,-1112,-175,-230,1855,-3387,-1986,1295,767,-1065
34,524.023,-908,-168,-221,1648,-3079,-1759,1336,694,-997
35,538.902,-665,-114,-224,1603,-2796,-1570,1367,668,-952
36,554.0730000000001,-377,-3,-268,1530,-2443,-1290,1383,642,-929
37,569.043,254,152,-349,1401,-2089,-949,1416,629,-925
38,584.072,728,195,-384,1257,-1744,-576,1412,589,-926
39,599.0640000000001,1046,491,-276,1122,-1428,-150,1436,585,-880
40,614.023,1586,359,-215,965,-1170,152,1450,570,-888
41,629.045,2122,425,-153,643,-1054,440,1452,579,-838
42,645.8249999999999,2505,576,-146,262,-1034,531,1464,595,-839
43,661.24,2652,730,-167,34,-1050,399,1458,603,-813
44,676.252,2684,796,-184,-4,-1043,218,1460,603,-815
45,691.035,2541,903,-182,78,-1090,25,1472,631,-789
46,706.087,2427,937,-169,210,-1121,-213,1480,633,-796
47,720.953,2302,888,-138,379,-1213,-347,1464,625,-795
48,735.962,2214,818,-148,613,-1193,-356,1477,629,-750
49,750.634,2198,709,-116,866,-968,-204,1450,619,-724
50,765.688,2179,655,7,1041,-246,-41,1434,627,-687
51,780.694,2033,613,114,1209,610,2,1440,617,-703
52,795.548,1850,561,308,1158,1190,309,1424,601,-735
53,810.669,1777,498,439,1218,1487,491,1430,599,-717
54,826.496,1595,519,507,1258,1874,782,1434,601,-744
55,841.237,1437,455,587,1263,2184,1074,1442,585,-745
56,858.472,1113,332,692,1252,2592,1435,1391,607,-823
57,873.403,581,-94,1435,1185,2965,1763,1387,607,-808
58,888.977,201,-197,1620,986,3357,1731,1369,625,-849
59,903.991,140,-157,1407,628,3123,1802,1349,642,-914
60,918.662,-255,-340,1077,344,2937,1892,1332,639,-939
61,933.7330000000001,-478,-41,1099,945,2997,2081,1330,658,-930
62,948.609,-577,59,1295,1050,3210,2320,1302,670,-929
63,963.457,-974,-221,1340,374,3285,2367,1257,674,-948
64,978.391,-1105,-378,1250,-142,3060,2361,1232,690,-1000
65,993.313,-1138,-407,1234,-310,2804,2326,1222,731,-1045
66,1008.1560000000001,-1057,-370,1281,-259,2490,2280,1194,743,-1055
67,1022.7850000000001,-900,-493,1328,-297,2037,2118,1165,769,-1071
68,1037.766,-678,-550,1358,-493,1509,1727,1145,777,-1086
69,1052.743,-467,-535,1377,-490,993,1311,1137,796,-1041
70,1069.475,-223,-501,1358,-460,444,555,1137,820,-1069
71,1084.973,-36,-492,1325,-290,-252,466,1131,843,-1108
72,1099.8300000000002,62,-401,1533,-64,-290,133,1131,845,-1073
73,1114.862,119,-336,1246,148,-442,-111,1117,857,-1080
74,1129.847,199,-269,1222,370,-583,-263,1107,842,-1078
75,1144.876,212,-188,1221,481,-580,-354,1107,830,-1058
76,1159.907,222,-138,1204,510,-382,-388,1125,824,-1068
77,1174.5890000000002,299,-82,1174,500,-319,-313,1109,810,-1070
78,1189.644,334,-93,1160,423,-153,-234,1137,824,-1039
79,1204.674,354,-46,1194,429,-26,-141,1141,800,-1029
80,1219.473,339,-20,1263,364,51,-52,1145,780,-1069
81,1235.104,353,-38,1314,276,69,27,1150,753,-1062
82,1249.9089999999999,342,-77,1329,169,61,69,1137,778,-1036
83,1264.869,327,-107,1331,36,24,108,1131,774,-1069
84,1281.7240000000002,321,-132,1326,-146,13,130,1156,776,-1036
85,1297.1770000000001,316,-157,1327,-250,37,131,1150,784,-1060
86,1312.139,293,-185,1321,-237,50,135,1135,792,-1060
87,1326.867,297,-217,1324,-174,42,126,1129,780,-1055
88,1341.556,292,-223,1321,-114,5,106,1143,780,-1066
89,1356.453,282,-219,1334,-72,-37,77,1143,798,-1045
90,1371.305,285,-212,1342,-37,-75,56,1129,804,-1049
91,1386.2939999999999,288,-188,1323,-14,-88,41,1141,784,-1082
92,1401.087,290,-188,1311,-9,-88,31,1117,806,-1095
93,1417.097,304,-193,1290,-43,-78,19,1119,810,-1103
