,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,435.194,-1165,-515,173,-100,5,46,119,1391,-878
1,451.092,-1156,-780,183,-90,10,51,119,1404,-857
2,466.015,-1156,-797,200,-60,27,59,87,1395,-866
3,480.888,-1139,-776,221,-14,35,56,103,1383,-853
4,495.94300000000004,-1161,-801,254,-17,83,82,95,1403,-881
5,510.899,-1146,-811,266,-21,77,54,87,1381,-871
6,525.745,-1134,-871,264,-35,70,35,97,1408,-857
7,540.7239999999999,-1132,-995,336,254,19,-5,83,1383,-868
8,555.704,-1088,-1057,355,103,-52,-72,103,1383,-870
9,570.821,-1078,-1165,377,213,-116,-149,99,1379,-877
10,585.828,-1165,-1316,759,394,-192,-256,95,1412,-858
11,601.095,-1231,-1395,1008,599,-303,-440,93,1397,-905
12,616.251,-1240,-1545,764,626,-448,-656,125,1397,-919
13,631.3530000000001,-1291,-1664,696,571,-601,-1243,121,1402,-923
14,648.135,-1327,-1834,718,590,-779,-1378,154,1414,-929
15,663.147,-1360,-1942,879,843,-1080,-1700,172,1420,-964
16,678.296,-1356,-1873,1080,1099,-1312,-2063,193,1448,-984
17,693.3430000000001,-1376,-1853,1028,1133,-1549,-2369,278,1452,-1011
18,708.357,-1399,-1897,916,1117,-1809,-2690,296,1446,-1063
19,723.369,-1451,-1911,821,1158,-2015,-3003,353,1448,-1091
20,738.364,-1523,-1927,807,1255,-2202,-3549,408,1469,-1107
21,753.301,-1601,-1957,858,1322,-2408,-3594,544,1460,-1151
22,770.002,-1647,-1859,864,1316,-2639,-3865,605,1454,-1157
23,784.873,-1618,-1716,837,1198,-2799,-4063,670,1428,-1167
24,800.0319999999999,-1569,-1633,786,1001,-2846,-4189,741,1395,-1160
25,815.924,-1547,-1664,716,880,-2910,-4322,796,1397,-1180
26,830.881,-1488,-1521,645,961,-2966,-4426,855,1343,-1132
27,845.69,-1435,-1421,627,1091,-2969,-4434,963,1320,-1164
28,862.804,-1408,-1062,538,1187,-2947,-4390,983,1286,-1125
29,878.33,-1301,-1156,501,1260,-2889,-4307,1030,1253,-1149
30,893.91,-1200,-1014,446,1217,-2768,-4189,1099,1211,-1141
31,908.88,-1160,-990,403,1209,-2644,-4063,1188,1164,-1105
32,923.791,-1077,-823,280,1269,-2591,-3984,1247,1123,-1130
33,939.133,-940,-587,165,1300,-2482,-3594,1284,1062,-1082
34,953.971,-783,-478,72,1305,-2321,-3628,1302,1028,-1075
35,969.0459999999999,-612,-297,28,1304,-2148,-3403,1328,938,-1007
36,983.895,-423,-151,54,1178,-1914,-3136,1389,883,-1004
37,999.001,-197,36,32,916,-1658,-2595,1434,853,-994
38,1013.8609999999999,30,68,-25,681,-1417,-2480,1446,831,-1000
39,1029.001,309,139,-72,613,-1309,-2122,1434,778,-1000
40,1044.124,599,194,-118,710,-1234,-1648,1464,763,-958
41,1059.16,869,368,-144,800,-1124,-1233,1489,707,-971
42,1076.129,1240,563,-258,871,-1021,-721,1475,703,-984
43,1091.617,1519,679,-307,799,-988,-335,1483,694,-939
44,1106.522,1762,1019,-176,274,-1025,-80,1497,698,-924
45,1121.6,2030,935,-103,222,-1061,27,1483,696,-890
46,1136.595,2130,1258,-85,-64,-1095,61,1511,705,-869
47,1151.748,2146,1012,-81,-452,-1107,10,1527,727,-862
48,1166.544,2172,936,-101,-638,-1057,-111,1519,725,-846
49,1181.59,2207,862,-128,-510,-1070,-181,1505,707,-874
50,1196.592,2209,756,-198,-317,-1068,-120,1532,721,-847
51,1211.642,2234,646,-132,-213,-921,-52,1521,745,-807
52,1226.698,2217,489,-143,-50,-316,106,1525,735,-818
53,1241.662,2224,357,-111,147,220,297,1505,733,-797
54,1256.402,2197,303,255,401,542,439,1519,745,-819
55,1271.502,2077,309,76,1023,1076,595,1487,768,-837
