,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,1096.628,-1508,94,460,-4190,-733,-804,-848,645,-392
1,1112.993,-1441,-24,373,-5324,-1005,-1002,-824,703,-482
2,1127.943,-1379,-382,203,-5756,-1088,-1106,-804,880,-504
3,1142.98,-1219,-865,113,-6007,-1133,-1288,-788,971,-492
4,1157.847,-1249,-1165,134,-5604,-680,-1666,-769,1056,-473
5,1172.903,-1360,-1293,78,-4919,-616,-1848,-784,1101,-454
6,1187.846,-1382,-1393,27,-4405,-609,-2062,-747,1180,-470
7,1202.9019999999998,-1438,-1443,-53,-4069,-379,-2452,-739,1257,-403
8,1217.927,-1516,-1579,-149,-3779,216,-2705,-708,1373,-366
9,1233.0140000000001,-1526,-1712,-79,-3490,507,-3018,-646,1452,-336
10,1249.884,-1491,-1646,-55,-3011,545,-3438,-623,1493,-305
11,1266.47,-1375,-1698,-221,-2497,774,-3794,-595,1525,-285
12,1281.392,-1439,-1627,-585,-2063,996,-3766,-548,1576,-201
13,1296.466,-1310,-1806,-898,-1891,1286,-3960,-493,1669,-162
14,1311.266,-1295,-1925,-887,-1664,1696,-3968,-433,1697,-168
15,1326.252,-1353,-1881,-807,-905,2091,-4099,-394,1720,-167
16,1341.204,-1344,-1848,-895,-1,2314,-4204,-323,1756,-91
17,1356.28,-1302,-1858,-1176,-82,2270,-4337,-287,1754,-97
18,1371.225,-1225,-1763,-1328,-76,2394,-4433,-238,1787,-79
19,1386.268,-1182,-1764,-1124,-148,2656,-4522,-189,1797,-86
20,1403.434,-974,-1870,-889,-60,2830,-4611,-65,1829,-79
21,1419.6960000000001,-846,-1538,-895,400,2688,-4602,-31,1827,-88
22,1434.6760000000002,-855,-1295,-805,1067,2563,-4606,58,1815,-95
23,1449.479,-833,-1249,-533,1475,2409,-4619,127,1768,-158
24,1464.581,-666,-1523,-573,1633,2152,-4685,210,1743,-205
25,1479.589,-488,-1091,-601,1739,1947,-4710,257,1725,-248
26,1494.648,-499,-1064,-375,1907,1917,-4797,294,1685,-269
27,1509.568,-505,-754,-270,2247,1767,-4806,340,1636,-285
28,1524.511,-429,-506,-352,2678,1468,-4766,379,1568,-366
29,1539.568,-315,-317,-517,2619,1182,-4773,419,1503,-401
30,1556.552,-110,-139,-312,2220,1022,-4684,478,1357,-432
31,1572.917,45,95,12,1984,893,-4523,492,1283,-457
32,1587.915,272,684,400,2312,522,-4208,515,1210,-476
33,1602.657,506,1321,598,2762,499,-3626,551,1147,-765
34,1617.384,556,2062,673,2989,144,-2637,533,995,-511
35,1632.377,595,2535,459,3027,528,-1893,578,941,-543
36,1647.293,479,2265,283,2661,-108,-272,573,892,-530
37,1662.2859999999998,1015,1800,274,1907,-720,762,569,874,-551
38,1677.2549999999999,919,937,146,664,-802,1191,596,896,-550
39,1692.3010000000002,948,-205,-60,-564,-663,1364,590,930,-542
40,1709.245,1175,-994,-128,-973,-551,975,600,937,-532
41,1725.482,1474,-571,-42,-339,-506,564,606,961,-489
42,1740.894,1579,-374,105,198,-228,280,598,981,-509
43,1756.126,1514,-140,250,219,23,139,604,969,-517
44,1771.0520000000001,1454,-64,420,-16,-25,41,598,955,-482
45,1786.117,1449,-99,522,-217,-123,-42,604,937,-480
46,1801.108,1383,-175,477,-229,-114,-94,604,987,-481
47,1816.143,1363,-249,411,-211,-176,-124,604,957,-529
48,1830.989,1347,-387,328,-297,-218,-121,608,979,-512
49,1846.215,1331,-471,243,-297,-264,-148,596,967,-513
50,1863.219,1392,-391,183,-259,-216,-217,600,969,-480
51,1879.3390000000002,1371,-404,215,-390,-72,-235,612,985,-494
52,1894.468,1343,-384,239,-397,-22,-243,606,983,-491
53,1909.6470000000002,1313,-337,263,-346,39,-195,602,969,-480
54,1926.37,1247,-350,325,-358,59,-118,602,987,-508
55,1943.351,1227,-380,352,-344,30,-74,594,987,-487
56,1958.06,1229,-349,306,-237,11,-51,602,993,-482
57,1973.065,1227,-334,255,-205,22,-33,610,999,-506
58,1987.99,1219,-301,215,-244,18,-19,614,975,-479
59,2005.9969999999998,1242,-327,183,-338,-6,-20,622,1008,-490
