,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1256,-220,424,119,-76,42,-675,377,-192
1,13.343,-1238,-242,403,124,-79,48,-675,363,-223
2,25.692,-1226,-298,394,122,-88,43,-669,353,-200
3,38.227,-1225,-358,376,99,-96,17,-669,363,-219
4,50.819,-1233,-420,348,66,-102,-24,-679,363,-217
5,63.50300000000001,-1252,-443,318,13,-106,-76,-671,353,-217
6,75.37299999999999,-1265,-480,319,-28,-94,-129,-683,371,-217
7,88.866,-1269,-544,328,-30,-83,-187,-669,363,-204
8,101.587,-1261,-619,353,-25,-97,-251,-675,380,-204
9,113.86200000000001,-1252,-690,357,250,-97,-335,-698,373,-206
10,126.51899999999999,-1254,-681,320,34,-86,-408,-704,382,-216
11,139.33100000000002,-1264,-701,294,70,-71,-479,-706,404,-222
12,151.876,-1266,-697,335,44,-47,-555,-706,424,-202
13,164.518,-1262,-671,428,115,-33,-610,-724,404,-221
14,177.233,-1251,-686,474,215,-31,-677,-736,422,-189
15,190.125,-1248,-762,266,287,-41,-762,-730,453,-197
16,202.818,-1277,-869,482,340,-47,-842,-754,434,-212
17,215.315,-1336,-951,420,388,-57,-956,-750,463,-183
18,227.688,-1383,-929,397,518,-79,-1067,-764,457,-192
19,240.209,-1410,-922,418,640,-96,-1181,-784,482,-167
20,252.716,-1453,-1036,509,681,-111,-1340,-820,526,-177
21,265.255,-1502,-1153,573,694,-135,-1479,-822,553,-169
22,277.817,-1563,-1207,623,737,-146,-1628,-847,583,-146
23,290.36899999999997,-1599,-1117,598,790,-178,-1750,-872,607,-143
24,303.13800000000003,-1629,-1111,593,846,-237,-1884,-870,627,-144
25,315.58000000000004,-1637,-1232,621,852,-309,-2032,-886,674,-146
26,328.399,-1662,-1426,690,771,-365,-2195,-915,711,-180
27,340.864,-1665,-1568,718,663,-394,-2387,-927,780,-151
28,353.237,-1635,-1565,693,575,-431,-2521,-943,822,-154
29,365.651,-1585,-1598,703,467,-480,-2666,-953,887,-170
30,378.172,-1554,-1624,621,481,-471,-3051,-933,954,-150
31,390.78200000000004,-1540,-1704,638,185,-471,-2957,-935,1044,-174
32,403.157,-1461,-1831,569,125,-437,-3117,-915,1115,-219
33,415.74699999999996,-1374,-1942,528,82,-385,-3287,-923,1184,-211
34,428.379,-1356,-1936,433,-78,-323,-3459,-880,1300,-198
35,440.873,-1259,-1883,383,-158,-4,-3605,-825,1373,-197
36,453.252,-1136,-1819,352,-237,-194,-3728,-793,1471,-200
37,466.034,-1051,-1931,276,-313,-59,-3815,-738,1562,-190
38,478.38199999999995,-1019,-2020,283,-211,80,-3894,-677,1623,-184
39,490.884,-1017,-1566,291,35,186,-4002,-614,1686,-221
40,503.664,-893,-1555,289,186,234,-4065,-614,1729,-220
41,516.181,-812,-1370,296,118,232,-4127,-291,1782,-219
42,528.969,-680,-1236,302,-130,243,-4138,-440,1823,-207
43,541.4330000000001,-596,-1236,288,-358,299,-4108,-352,1823,-182
44,553.735,-546,-1268,287,-343,382,-4058,-279,1861,-189
45,566.249,-466,-1160,11,-127,432,-3973,-198,1884,-214
46,578.985,-485,-989,313,140,460,-3886,-110,1904,-188
47,591.656,-531,-853,342,270,447,-3830,-25,1891,-188
48,604.1410000000001,-461,-284,436,436,376,-3744,73,1901,-193
49,616.666,-343,-354,427,550,295,-3586,158,1855,-201
50,629.342,-213,-325,403,410,199,-3452,235,1849,-220
51,641.7969999999999,11,-141,395,393,179,-3215,304,1812,-246
52,654.257,21,-195,389,395,176,-2977,392,1792,-263
53,667.068,131,-103,533,401,163,-2773,444,1769,-278
54,679.698,57,1,484,547,143,-2476,475,1712,-279
55,692.077,100,351,582,337,83,-2170,518,1698,-276
56,704.634,369,457,555,347,106,-1843,556,1692,-299
57,717.328,460,448,528,282,114,-1290,570,1645,-341
58,730.004,559,447,549,21,88,-1223,607,1641,-321
59,742.673,551,298,597,-225,69,-913,617,1617,-326
60,754.853,582,190,678,-316,91,-630,621,1631,-314
61,767.629,605,147,700,-286,100,-420,627,1611,-304
62,780.482,696,103,706,-150,101,-204,642,1609,-335
63,792.748,768,-7,726,-105,98,-31,633,1625,-322
64,805.62,845,-130,734,-195,94,73,591,1637,-309
65,818.184,875,-272,738,-256,83,142,607,1635,-274
66,830.237,885,-362,733,-6,61,180,593,1643,-299
67,843.3040000000001,920,-370,741,-206,22,180,615,1651,-306
68,855.821,990,-451,750,-188,-3,162,570,1653,-291
69,868.534,1037,-445,780,-119,-21,138,591,1649,-284
70,881.075,1074,-443,778,-153,-41,107,591,1664,-277
71,893.7429999999999,1147,-420,771,-141,-74,73,591,1666,-291
72,906.222,1188,-401,778,-128,-88,47,597,1662,-295
73,918.741,1175,-377,780,-147,-91,18,603,1660,-311
74,931.218,1167,-343,794,-130,-95,-5,579,1668,-301
75,943.7370000000001,1135,-327,801,-108,-90,-21,572,1678,-287
76,955.991,1119,-318,782,-71,-87,-25,589,1668,-300
77,968.424,1114,-313,788,-18,-85,-23,581,1662,-284
78,981.1339999999999,1086,-319,811,23,-73,-21,568,1655,-304
79,993.752,1087,-321,830,26,-74,-30,593,1674,-297
80,1006.356,1067,-299,821,10,-63,-28,593,1651,-294
81,1018.915,1058,-309,802,4,-60,-14,589,1680,-289
82,1031.4099999999999,1059,-294,787,-4,-59,6,587,1653,-278
83,1044.1450000000002,1057,-304,796,1,-66,18,558,1653,-292
84,1056.655,1068,-303,807,31,-68,35,579,1649,-269
85,1069.1960000000001,1059,-322,793,79,-72,44,585,1651,-269
86,1081.636,1060,-314,790,108,-74,51,593,1668,-281
87,1093.625,1059,-307,779,127,-76,59,579,1637,-316
88,1106.922,1032,-347,783,99,-75,60,568,1666,-291
89,1119.768,1061,-352,744,67,-87,65,583,1649,-314
90,1132.126,1082,-362,746,46,-91,67,587,1666,-326
91,1144.085,1082,-332,746,52,-89,61,577,1680,-313
92,1156.961,1079,-306,735,62,-96,62,570,1651,-288
93,1169.4750000000001,1056,-295,748,77,-103,61,576,1657,-308
94,1182.0900000000001,1062,-299,734,80,-108,65,572,1643,-304
95,1194.415,1080,-292,712,84,-112,63,566,1651,-329
96,1207.073,1087,-286,700,90,-120,70,554,1676,-311
97,1220.047,1099,-295,717,81,-118,66,580,1665,-301
98,1232.4489999999998,1103,-302,705,63,-114,63,593,1665,-329
99,1245.0079999999998,1097,-282,705,55,-114,62,580,1647,-316
100,1257.805,1095,-291,719,51,-105,58,560,1665,-301
101,1270.2549999999999,1089,-282,703,37,-101,57,568,1653,-313
102,1282.642,1100,-284,716,36,-94,55,577,1658,-297
103,1294.928,1119,-282,730,7,-89,52,548,1662,-286
104,1307.2330000000002,1107,-303,747,3,-85,47,585,1668,-296
105,1320.049,1113,-296,764,26,-82,48,552,1643,-265
106,1332.3670000000002,1149,-296,768,43,-91,49,558,1667,-311
107,1344.743,1174,-302,768,78,-90,45,556,1669,-302
108,1357.341,1193,-288,757,109,-90,38,554,1671,-331
109,1370.143,1192,-272,754,117,-89,31,548,1649,-313
110,1382.11,1156,-297,756,72,-89,10,544,1647,-314
111,1394.6680000000001,1118,-311,769,25,-72,-10,566,1659,-330
112,1407.576,1095,-339,767,7,-66,-30,546,1661,-325
113,1420.3799999999999,1079,-343,774,26,-68,-45,564,1667,-332
114,1432.888,1068,-335,774,79,-70,-55,558,1659,-324
115,1445.388,1078,-306,752,104,-70,-58,562,1653,-323
116,1457.953,1072,-287,734,96,-80,-53,562,1666,-340
117,1470.7669999999998,1078,-283,727,63,-81,-52,581,1651,-316
118,1483.148,1065,-279,724,26,-77,-45,556,1651,-351
119,1495.491,1048,-314,737,-9,-63,-40,562,1639,-323
