,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,636.976,-1588,-1178,30,-590,-121,-1736,-531,1408,-133
1,653.092,-1630,-1282,-102,-290,-175,-1740,-539,1428,-152
2,667.9770000000001,-1787,-1129,9,337,-166,-1829,-502,1442,-170
3,683.034,-1827,-1164,138,835,-155,-1941,-472,1463,-163
4,698.1460000000001,-1761,-1224,169,1235,-498,-2122,-456,1455,-161
5,713.0490000000001,-1572,-1436,29,1784,-459,-2179,-454,1497,-219
6,728.093,-1517,-1564,15,2323,-580,-2235,-421,1461,-263
7,743.322,-1559,-1524,13,2918,-594,-2396,-383,1471,-263
8,758.4119999999999,-1580,-1438,65,3212,-593,-2646,-355,1438,-296
9,773.489,-1544,-1505,129,3122,-644,-2997,-316,1428,-344
10,788.601,-1493,-1754,180,3245,-763,-3314,-286,1402,-361
11,803.684,-1452,-1557,234,3719,-851,-3589,-268,1392,-439
12,818.791,-1429,-1689,322,3951,-835,-3922,-195,1331,-453
13,833.917,-1476,-1778,400,3700,-881,-4314,-156,1309,-485
14,850.896,-1411,-1716,412,3270,-1122,-4761,-116,1305,-507
15,867.804,-1253,-1715,401,2939,-1354,-5339,-59,1265,-565
16,882.772,-1110,-1740,337,2971,-1517,-5323,227,1212,-590
17,898.0160000000001,-1054,-1784,367,3156,-1676,-5488,74,1151,-599
18,913.1629999999999,-965,-1517,424,3192,-1844,-5663,121,1127,-618
19,928.201,-790,-1140,402,2885,-1941,-5838,171,1072,-636
20,943.3979999999999,-668,-1054,446,2496,-2014,-6011,220,1028,-627
21,958.457,-528,-966,391,2460,-2140,-6107,271,957,-594
22,973.542,-306,-893,749,2444,-2256,-6051,271,878,-613
23,988.623,-116,-807,680,2430,-2328,-5961,352,809,-580
24,1003.6959999999999,26,-685,794,2211,-2241,-5769,362,763,-572
25,1018.694,208,-665,719,2022,-2271,-5531,374,720,-553
26,1033.757,460,-545,710,1996,-2276,-5194,380,671,-526
27,1048.873,639,-422,737,2016,-2163,-4770,400,631,-504
28,1066.289,775,-219,795,2130,-1990,-4225,382,526,-452
29,1082.751,908,-160,836,2271,-1759,-3746,372,477,-473
30,1097.8159999999998,996,-190,889,2377,-1479,-3306,348,465,-428
31,1112.96,1026,-16,965,2490,-1144,-2803,354,416,-445
32,1127.901,976,146,999,2515,-834,-2242,319,317,-378
33,1142.771,986,297,874,2259,-592,-1805,291,287,-343
34,1157.811,1003,354,704,1989,-332,-1433,289,246,-331
35,1172.837,1078,489,645,1984,18,-1043,289,232,-308
36,1187.724,953,593,642,2096,545,-631,281,210,-289
37,1203.4940000000001,725,681,698,2142,1120,-112,240,188,-269
38,1218.915,543,634,1007,2000,1582,203,19,149,-215
39,1234.104,142,487,1229,1293,1912,424,242,135,-234
40,1249.205,-196,7,1196,926,2052,550,224,133,-206
41,1266.278,-169,457,973,269,2219,594,210,147,-219
42,1282.741,-203,694,873,323,2506,1003,206,121,-217
43,1297.779,-744,696,976,590,3047,1067,178,143,-190
44,1312.926,-1157,769,903,854,3095,1414,170,137,-189
45,1327.858,-1106,609,596,474,3296,1606,178,113,-205
46,1342.809,-1182,280,363,-132,3441,1667,161,135,-184
47,1357.909,-1517,230,499,-671,3671,1593,139,141,-199
48,1373.0130000000001,-1554,393,816,-1084,3673,1498,109,153,-241
49,1388.0710000000001,-1641,582,1375,-572,3486,1594,107,194,-228
50,1403.009,-642,-395,2118,-487,2742,1441,113,194,-252
51,1418.059,157,-712,1604,-868,998,369,111,210,-291
52,1433.2879999999998,213,343,592,-1463,-436,-430,101,212,-258
53,1448.385,-396,763,912,-867,-547,-413,78,236,-322
54,1463.566,-418,369,1050,104,-199,55,78,220,-299
55,1480.54,-76,204,932,411,148,56,95,242,-274
56,1496.0910000000001,97,373,997,256,336,-65,78,246,-287
57,1510.954,130,385,1128,-357,299,-220,70,234,-290
58,1526.068,6,398,1411,-737,145,-288,58,242,-314
59,1541.1109999999999,52,398,1525,-684,23,-257,76,9,-326
60,1557.058,80,461,1362,-381,-69,-195,34,255,-337
61,1572.8500000000001,110,441,1353,-55,-18,-144,52,251,-306
62,1587.836,70,420,1393,196,61,-121,34,251,-330
63,1603.192,85,455,1402,299,111,-79,54,255,-306
64,1618.044,99,411,1414,206,69,-53,44,265,-319
65,1633.1299999999999,29,380,1468,-1,-5,-57,40,248,-328
66,1648.1390000000001,11,378,1377,-174,-63,-78,44,232,-302
67,1663.373,34,384,1183,-314,-62,-95,38,254,-310
68,1678.45,38,314,1216,-319,18,-113,54,259,-306
