,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1346,-103,236,-73,-12,13,-739,221,-128
1,17.492,-1344,-101,240,-57,-6,2,-751,211,-135
2,34.815,-1343,-100,241,-39,3,-10,-751,207,-151
3,51.566,-1342,-111,239,-34,1,-21,-755,202,-120
4,68.202,-1335,-105,233,-18,15,-24,-755,200,-138
5,86.65,-1330,-125,233,1,30,-4,-727,213,-120
6,104.325,-1323,-122,252,46,36,16,-743,200,-107
7,121.59100000000001,-1324,-133,242,95,54,40,-737,209,-130
8,139.11,-1324,-146,240,143,62,48,-762,213,-154
9,156.493,-1330,-150,260,191,81,50,-753,209,-135
10,174.803,-1346,-146,265,238,84,45,-760,200,-101
11,193.48399999999998,-1367,-134,259,247,86,41,-739,209,-89
12,212.622,-1374,-135,265,234,78,18,-760,196,-114
13,231.211,-1370,-142,263,218,63,-11,-755,186,-90
14,250.16699999999997,-1349,-158,263,214,46,-56,-753,200,-83
15,268.911,-1335,-139,261,250,34,-98,-745,196,-99
16,287.134,-1334,-132,257,303,22,-127,-755,188,-99
17,304.411,-1336,-109,249,339,12,-145,-758,174,-70
18,321.621,-1346,-90,236,330,7,-154,-755,182,-74
19,338.913,-1349,-86,220,296,-3,-164,-745,176,-67
20,356.588,-1365,-94,223,254,-19,-180,-753,184,-56
21,373.99100000000004,-1364,-90,204,228,-29,-200,-770,190,-87
22,396.386,-1386,-80,211,201,-40,-222,-770,186,-85
23,414.036,-1383,-75,203,188,-40,-241,-768,168,-50
24,431.688,-1389,-51,197,159,-48,-251,-773,200,-60
25,449.25399999999996,-1394,-41,197,123,-52,-266,-800,186,-5
26,469.27000000000004,-1395,-50,182,76,-57,-274,-779,188,-28
27,486.597,-1391,-37,192,52,-57,-279,-810,209,-12
28,504.36899999999997,-1388,-50,195,50,-56,-272,-792,202,-40
29,522.128,-1379,-25,190,51,-59,-265,-800,200,-7
30,538.812,-1369,-22,187,53,-49,-244,-822,198,-31
31,556.4689999999999,-1353,-5,187,29,-44,-224,-808,217,-38
32,574.152,-1353,-2,187,-11,-32,-210,-808,225,18
33,591.5939999999999,-1365,-16,204,-40,-29,-189,-829,229,-4
34,608.818,-1371,-6,203,-57,-26,-170,-837,223,-29
35,626.5319999999999,-1379,255,208,-71,-27,-136,-837,249,-31
36,643.9449999999999,-1393,9,208,-94,-32,-110,-825,253,-2
37,661.391,-1394,8,210,-128,-38,-86,-831,243,-20
38,678.875,-1384,11,200,-173,-50,-72,-841,227,-42
39,696.586,-1378,-2,202,-201,-57,-54,-839,231,-37
40,714.271,-1360,-3,204,-217,-54,-32,-830,198,-65
41,731.66,-1359,-3,204,-237,-52,254,-843,235,-8
42,749.257,-1357,-5,194,-291,-48,34,-832,263,-34
43,766.706,-1338,-43,195,-346,-43,71,-830,255,-77
44,784.323,-1348,-64,197,-362,-37,116,-839,249,-69
45,802.089,-1347,-90,198,-372,-32,152,-820,241,-78
46,819.688,-1349,-110,183,-378,-19,179,-796,243,-69
47,837.145,-1349,-129,172,-395,-9,196,-790,227,-74
48,854.771,-1365,-128,199,-397,7,210,-810,257,-70
49,872.419,-1363,-135,190,-431,5,215,-794,231,-109
50,890.072,-1364,-152,194,-481,12,208,-794,251,-84
51,907.6220000000001,-1362,-170,204,-515,9,199,-776,241,-122
52,925.2810000000001,-1359,-183,217,-505,5,181,-780,255,-148
53,943.058,-1361,-184,231,-474,7,158,-786,243,-128
54,961.545,-1361,-159,232,-426,5,146,-776,247,-124
55,979.211,-1363,-157,235,-400,3,127,-756,235,-118
56,996.699,-1377,-158,235,-406,1,113,-766,249,-108
57,1014.6520000000002,-1374,-155,254,-408,-9,92,-758,265,-147
58,1033.825,-1357,-161,250,-394,-14,87,-756,255,-136
59,1051.5410000000002,-1349,-149,265,-361,-22,89,-758,503,-135
60,1069.213,-1333,-132,254,-342,-28,85,-754,255,-152
61,1086.691,-1337,-142,247,-371,-33,74,-756,257,-164
62,1104.23,-1338,-160,251,-371,-32,66,-762,276,-158
63,1121.587,-1362,-186,254,-344,-31,60,-762,253,-170
64,1139.2359999999999,-1338,-173,256,-300,-36,63,-768,284,-204
65,1156.8149999999998,-1342,-175,254,-254,-27,68,-745,257,-188
66,1174.577,-1338,-167,7,-233,-24,71,-751,278,-198
67,1192.2269999999999,-1336,-185,250,-218,-22,73,-766,271,-216
68,1209.982,-1335,-220,245,-194,-18,78,-754,249,-208
69,1227.095,-1344,-236,238,-136,-12,85,-739,261,-220
70,1244.867,-1325,-242,255,-47,-4,82,-741,263,-186
71,1262.435,-1308,-217,251,9,252,87,-741,271,-185
72,1280.278,-1313,-226,245,23,14,75,-741,261,-189
73,1297.806,-1338,-233,249,19,29,60,-749,278,-197
74,1315.123,-1352,-240,260,12,27,50,-727,251,-191
75,1332.4270000000001,-1361,-244,262,42,20,40,-741,259,-187
76,1350.112,-1361,-234,262,86,14,-6,-735,243,-181
77,1367.387,-1360,-216,262,110,4,-52,-737,241,-163
78,1385.113,-1361,-199,264,119,-9,-110,-741,251,-169
79,1402.8709999999999,-1355,-181,262,101,-11,-153,-739,257,-170
80,1420.5939999999998,-1366,-181,270,100,-18,-183,-741,271,-172
81,1438.201,-1367,-188,284,116,-33,-213,-745,511,-186
82,1455.789,-1346,-166,264,153,-37,-228,-723,257,-198
83,1473.3590000000002,-1352,-162,260,204,-44,-229,-745,255,-190
84,1491.009,-1343,-139,274,234,-45,-209,-517,267,-149
