,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1327,-441,427,538,103,60,-638,527,-540
1,17.157,-1289,-674,489,345,124,14,-622,523,-567
2,36.881,-1471,-1092,710,415,143,-8,-648,497,-520
3,55.357000000000006,-1617,-1353,951,863,-236,-119,-652,507,-518
4,74.345,-1593,-1519,887,1086,-295,-720,-636,511,-542
5,93.363,-1663,-1555,967,854,-490,-997,-650,493,-530
6,112.253,-1830,-1627,1130,410,-664,-1619,-646,503,-578
7,130.64999999999998,-2020,-1801,1174,143,-894,-2148,-640,519,-558
8,148.354,-2191,-1853,1157,30,-1143,-2641,-652,538,-573
9,165.657,-2335,-1775,1163,-62,-1334,-3058,-679,613,-589
10,183.065,-2466,-1667,1201,-124,-1484,-3357,-681,633,-613
11,200.66500000000002,-2602,-1621,1231,-104,-1638,-3549,-669,700,-675
12,218.01000000000002,-2704,-1488,998,-44,-1829,-3699,-659,737,-667
13,235.37900000000002,-2802,-1033,737,-189,-1979,-3863,-624,783,-697
14,252.848,-2789,-1127,591,-451,-2053,-4010,-614,868,-752
15,270.106,-2693,-1014,598,-660,-2041,-4051,-545,935,-746
16,287.606,-2526,-735,598,-636,-2015,-3909,-500,1000,-772
17,305.188,-2382,-495,475,-634,-1972,-3647,-423,1072,-815
18,322.695,-2269,-456,356,-816,-1874,-3093,-394,1127,-794
19,340.265,-2049,-440,202,-1102,-1747,-3168,-325,1161,-798
20,357.608,-1695,-416,298,-1213,-1560,-3000,-265,1242,-810
21,375.21700000000004,-1486,-260,350,-1024,-1372,-2567,-222,1263,-814
22,392.63100000000003,-1338,-107,291,-720,-1255,-2319,-175,1535,-816
23,410.24,-1182,-97,326,-430,-1135,-2068,-108,1311,-808
24,427.614,-898,-301,196,-155,-1070,-2115,-72,1322,-801
25,445.214,-765,-245,252,240,-966,-1888,-41,1309,-794
26,462.533,-629,-140,213,769,-952,-1618,30,1289,-835
27,480.085,-475,163,200,1116,-910,-1378,54,1277,-816
28,497.587,-237,186,220,999,-850,-1192,73,1220,-862
29,514.893,-95,-173,274,744,-715,-781,127,1190,-838
30,532.383,-127,-318,263,720,-573,-792,156,1196,-833
31,549.797,-90,-209,326,799,-510,-595,170,1151,-844
32,567.349,27,-206,358,571,-454,-509,184,1155,-844
33,584.726,135,-330,441,274,-390,-456,199,1149,-845
34,602.22,141,-601,519,84,-307,-399,203,1153,-846
35,619.859,135,-684,439,63,-236,-361,194,1143,-858
36,637.543,217,-622,481,92,-169,-343,215,1149,-845
37,654.8770000000001,281,-593,652,127,-113,-311,221,1139,-862
38,672.553,300,-710,738,141,-61,-229,215,1129,-848
39,689.913,250,-736,723,160,8,-113,213,1127,-904
40,707.022,265,-855,755,83,43,-18,213,1112,-856
41,724.362,296,-917,750,16,68,-8,215,1125,-847
42,741.523,306,-819,742,37,60,15,209,1131,-839
43,758.76,277,-945,795,96,38,49,196,1123,-862
44,776.284,251,-998,846,116,40,51,199,1125,-838
45,793.534,245,-993,863,129,47,58,203,1121,-879
46,811.114,250,-961,859,102,38,58,207,1116,-874
47,828.545,241,-951,830,61,32,54,182,1123,-838
48,845.981,205,-967,790,10,21,58,209,1119,-838
49,863.386,230,-1008,855,-65,22,57,184,1110,-861
50,880.895,221,-1072,892,-91,24,67,201,1123,-873
51,898.503,163,-1125,847,-64,40,74,194,1096,-878
52,915.913,174,-1108,779,-33,44,75,172,1116,-849
53,933.289,202,-1094,819,-49,33,61,188,1131,-882
54,950.78,228,-1141,896,-97,31,57,190,1116,-861
55,968.211,204,-1163,890,-95,35,79,182,1125,-879
56,985.519,176,-1155,846,-29,44,79,184,1125,-856
57,1002.488,160,-1119,832,-4,47,66,186,1123,-859
58,1019.9530000000001,168,-1126,857,-23,38,56,174,1119,-869
59,1037.474,175,-1131,891,-31,39,55,178,1112,-879
60,1054.565,185,-1137,912,-23,32,48,182,1113,-864
61,1072.088,172,-1134,872,-49,20,40,195,1131,-850
62,1089.68,169,-1138,836,-36,-255,26,182,1111,-867
63,1106.99,167,-1117,848,-6,-9,13,176,1104,-863
64,1124.097,197,-1057,893,9,-19,15,168,1133,-829
65,1141.737,206,-1091,902,-46,-15,14,192,1106,-878
66,1159.276,184,-1114,890,-66,-7,14,178,1143,-868
67,1176.7620000000002,171,-1112,849,-35,-19,15,172,1130,-866
68,1193.769,173,-1099,813,4,-33,3,182,1120,-866
69,1211.368,196,-1068,864,27,-38,-6,170,1124,-859
70,1228.994,186,-1061,889,5,-43,-2,184,1116,-855
71,1246.475,180,-1090,871,21,-50,0,174,1094,-848
72,1263.658,181,-1084,798,56,-59,5,194,1098,-847
73,1280.866,201,-1049,806,43,-60,0,176,1114,-867
74,1298.2469999999998,194,-1035,821,-24,-53,-5,180,1124,-864
75,1315.752,200,-1058,815,-92,-40,5,190,1108,-850
76,1333.1889999999999,190,-1081,811,-108,-21,12,176,1116,-853
77,1350.689,187,-1059,815,-108,2,6,186,1116,-846
78,1368.2589999999998,200,-1065,849,-95,9,-9,192,1110,-858
79,1385.79,198,-1073,864,-52,9,8,203,1124,-875
80,1403.121,186,-1041,859,-9,2,29,186,1120,-832
81,1420.567,188,-1047,866,-24,-1,27,184,1122,-833
82,1438.144,178,-1063,861,-90,-15,16,172,1124,-872
83,1455.487,175,-1097,870,-108,-24,10,180,1119,-866
84,1472.564,185,-1081,877,-56,-25,14,166,1100,-840
85,1490.078,185,-1075,866,251,-26,22,174,1119,-880
