,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-28,-676,1228,-71,-10,-2,-528,1386,-111
1,11.044,-37,-664,1229,-65,-11,-4,-524,1394,-93
2,23.455000000000002,-31,-683,1229,-69,-15,-6,-520,1386,-84
3,36.128,-34,-668,1216,-54,-14,1,-518,1386,-109
4,48.485,-32,-677,1228,-67,-14,-3,-518,1390,-69
5,61.150999999999996,-35,-672,1217,-67,-12,-2,-512,1372,-64
6,73.59400000000001,-29,-666,1210,-63,-11,0,-518,1398,-62
7,86.092,-31,-677,1223,-60,-16,-2,-518,1402,-70
8,98.704,-35,-678,1231,-53,-15,-3,-514,1402,-58
9,111.572,-34,-670,1231,-63,-11,-4,-522,1400,-72
10,124.009,-22,-669,1223,-58,-11,0,-498,1400,-77
11,136.51,-22,-672,1220,-63,-15,-2,-518,1403,-64
12,149.25900000000001,-33,-671,1230,-61,-16,-4,-526,1408,-106
13,161.775,-30,-686,1216,-64,-13,-4,-520,1404,-106
14,174.10999999999999,-40,-682,1221,-63,-11,-5,-512,1406,-84
15,186.837,-36,-681,1222,-61,-13,-3,-502,1400,-68
16,199.34799999999998,-30,-683,1225,-62,-13,-3,-506,1392,-92
17,212.207,-36,-671,1225,-56,-15,-5,-500,1413,-78
18,224.601,-27,-671,1225,-62,-11,-5,-526,1392,-103
19,237.09199999999998,-28,-672,1219,-57,-11,-4,-524,1392,-78
20,249.858,-35,-675,1230,-59,-9,0,-522,1402,-64
21,262.73,-28,-679,1238,-60,-13,-4,-518,1390,-89
22,275.052,-35,-677,1221,-60,-12,255,-520,1386,-105
23,287.56,-37,-678,1221,-63,-10,-2,-518,1388,-107
24,300.104,-35,-675,1222,-63,-15,0,-524,1400,-104
25,312.716,-29,-674,1231,-60,-13,-1,-526,1404,-116
26,325.05699999999996,-18,-673,1222,-59,-11,-2,-506,1404,-82
27,337.46500000000003,-34,-671,1220,-65,-15,0,-518,1406,-70
28,349.89799999999997,-30,-672,1218,-52,-13,-2,-524,1390,-65
29,362.741,-26,-677,1225,-58,-12,-3,-510,1386,-77
30,375.22499999999997,-34,-685,1222,-59,-12,-4,-510,1400,-75
31,387.677,-33,-679,1221,-60,-13,-256,-516,1404,-79
32,400.18399999999997,-32,-679,1224,-58,-14,-1,-500,1394,-78
33,412.91,-32,-674,1223,-61,-14,-3,-512,1392,-75
34,425.429,-37,-679,1228,-59,-13,-3,-516,1388,-65
35,437.813,-38,-672,1228,-63,-14,-4,-514,1386,-76
36,450.659,-30,-669,1230,-57,-14,-6,-534,1398,-63
37,463.281,-31,-682,1230,-55,-15,-6,-524,1408,-77
38,475.908,-33,-665,1230,-61,-12,-2,-512,1402,-87
39,488.27700000000004,-24,-675,1224,-60,-13,-5,-509,1403,-82
40,500.84399999999994,-25,-678,1222,-55,-9,-2,-521,1403,-86
41,513.59,-38,-677,1225,-60,-13,-2,-519,1407,-76
42,526.269,-32,-678,1232,-55,-18,-2,-513,1387,-77
43,538.693,-33,-670,1227,-60,-14,0,-257,1384,-63
44,551.218,-31,-672,1222,-62,-12,0,-508,1391,-60
45,563.564,-31,-677,1221,-57,-17,-5,-526,1388,-72
46,576.04,-29,-677,1225,-60,-8,-2,-514,1388,-43
47,588.51,-28,-679,1223,-58,-12,-3,-516,1408,-74
48,601.2729999999999,-40,-675,1217,-60,-12,-4,-512,1400,-102
49,613.758,-31,-685,1224,-60,-13,-5,-522,1406,-102
50,626.389,-24,-688,1237,-56,-13,-4,-500,1392,-75
51,638.199,-25,-673,1226,-55,-12,-5,-512,1410,-73
52,650.0120000000001,-24,-672,1226,-60,-12,0,-504,1396,-83
53,662.802,-34,-678,1233,-45,-10,-3,-512,1386,-104
54,676.164,-32,-676,1232,-64,-10,-6,-526,1412,-72
55,688.447,-28,-674,1220,-63,-11,-3,-514,1396,-75
56,700.308,-31,-676,1224,-61,-8,-4,-528,1402,-63
57,712.356,-32,-675,1221,-64,-15,-1,-524,1386,-83
58,724.292,-33,-680,1223,-62,-15,-1,-516,1384,-76
59,737.701,-29,-685,1221,-57,-15,-3,-518,1406,-58
60,750.435,-35,-675,1225,-58,-16,0,-498,1402,-67
61,762.9780000000001,-36,-672,1228,-63,-10,-4,-518,1398,-90
62,775.612,-28,-669,1229,-57,-14,0,-508,1414,-66
63,787.846,-25,-669,1227,-65,-15,-1,-514,1380,-80
64,800.198,-27,-675,1223,-64,-14,-1,-532,1400,-83
65,812.905,-35,-672,1227,-70,-13,-2,-538,1388,-84
66,825.545,-37,-680,1225,-64,-15,-3,-504,1394,-92
67,838.014,-41,-674,1221,-60,-13,-2,-514,1388,-72
68,850.694,-40,-678,1220,-58,-13,-2,-524,1402,-75
69,863.0989999999999,-36,-676,1223,-62,-10,-1,-528,1406,-59
70,875.611,-30,-669,1233,-61,-11,-3,-506,1402,-90
71,888.218,-27,-680,1226,-60,-13,-3,-512,1394,-80
72,900.809,-22,-672,1225,-65,-13,-3,-522,1398,-111
73,913.231,-26,-675,1227,-62,-12,-4,-522,1396,-70
74,925.972,-32,-677,1222,-60,-11,-2,-520,1402,-99
75,938.669,-35,-682,1221,-63,-14,-3,-516,1392,-63
76,951.305,-31,-676,1222,-63,-14,-3,-504,1398,-45
77,963.792,-32,-681,1229,-61,-12,-2,-524,1398,-74
78,976.364,-35,-676,1224,-58,-13,0,-524,1394,-67
79,988.7850000000001,-30,-671,1220,-63,-13,-2,-510,1400,-67
80,1000.862,-27,-676,1228,-63,-14,255,-520,1400,-73
81,1014.0780000000001,-27,-678,1226,-58,-12,-7,-524,1400,-58
82,1026.663,-32,-679,1224,-60,-12,-3,-526,1402,-75
83,1039.344,-30,-673,1216,-62,-15,-2,-540,1384,-91
84,1052.212,-27,-674,1219,-59,-11,-3,-522,1400,-46
85,1064.627,-25,-680,1223,-55,-15,-2,-498,1410,-54
86,1077.242,-31,-674,1223,-63,-12,-2,-502,1396,-74
87,1089.815,-36,-675,1219,-62,-12,-2,-510,1398,-20
88,1102.4940000000001,-32,-677,1227,-59,-17,-2,-512,1402,-90
89,1115.083,-30,-680,1221,-54,-15,-5,-514,1408,-97
90,1127.365,-24,-676,1222,-56,-10,-2,-532,1408,-53
