,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1348,-75,532,-149,-40,-256,-833,192,-35
1,22.224,-1362,-31,522,-302,-95,-78,-837,204,-34
2,43.482,-1425,-16,539,-503,-119,-149,-831,208,-85
3,64.61600000000001,-1493,34,462,-572,-152,-284,-852,204,-91
4,86.10900000000001,-1472,56,386,-663,-210,-417,-834,229,-86
5,107.031,-1501,-19,412,-693,-176,-550,-856,235,-110
6,126.563,-1602,-69,407,-424,-78,-659,-866,271,-106
7,145.95,-1652,-71,209,37,-27,-785,-892,291,-80
8,165.722,-1675,-52,94,405,77,-859,-890,297,-114
9,185.15699999999998,-1743,-164,64,872,304,-861,-918,326,-86
10,204.862,-1752,-96,84,1962,463,-778,-918,297,-35
11,224.406,-1633,53,6,2358,505,-733,-924,312,-3
12,244.101,-1463,120,-73,2482,646,-618,-910,312,78
13,263.05699999999996,-1399,-45,-6,2345,929,-450,-931,322,108
14,282.603,-1399,-97,54,2086,1171,-360,-955,338,148
15,301.50100000000003,-1308,134,-108,1329,1390,-357,-957,324,223
16,322.274,-1250,-102,-175,16,1585,-200,-951,360,255
17,341.837,-1333,-669,27,-301,1816,-50,-955,352,268
18,361.5,-1375,-958,184,456,1721,-49,-971,368,337
19,381.15,-1392,-699,207,1504,1887,-150,-947,405,365
20,400.98699999999997,-1389,-532,136,1683,2089,-276,-957,405,438
21,420.288,-1407,-699,225,1743,2037,-429,-969,445,472
22,439.947,-1401,-965,383,2280,1552,-647,-965,472,556
23,459.539,-1377,-925,492,3103,1673,-1038,-973,506,604
24,479.177,-1319,-664,497,3630,1583,-1404,-918,569,677
25,498.862,-1306,-86,638,3118,1300,-1661,-937,617,710
26,518.836,-1422,-706,502,1054,727,-2048,-949,699,753
27,538.616,-1426,-686,498,599,407,-1967,-945,721,739
28,558.287,-1346,-391,293,651,386,-2005,-941,800,730
29,577.973,-1419,-223,327,474,309,-2130,-933,824,1007
30,597.8059999999999,-1224,-164,226,479,26,-1997,-971,899,776
31,617.482,-1256,-209,196,329,-106,-1867,-926,929,779
32,637.34,-1302,23,253,556,-178,-1595,-955,988,766
33,656.842,-1219,7,257,469,-259,-1265,-947,775,725
34,676.5360000000001,-1221,-193,255,254,-404,-1002,-922,1033,747
35,696.332,-1229,-105,114,133,-583,-751,-939,1063,743
36,716.069,-1174,-288,1,37,-627,-603,-955,1067,726
37,735.816,-1201,-334,8,160,-560,-421,-961,1088,685
38,755.579,-1213,-543,-15,178,-519,-219,-963,1104,676
39,775.116,-1180,-745,-150,195,-529,-125,-973,1122,677
40,794.735,-1070,-767,-316,166,-499,52,-955,1110,668
41,814.6999999999999,-1013,-808,-277,-12,-381,173,-977,1084,665
42,834.324,-1020,-950,-126,-115,-311,92,-981,1104,651
43,854.026,-1042,-1056,-100,-48,-156,169,-973,1112,650
44,873.501,-957,-1149,-123,-67,-57,192,-973,1098,650
45,893.22,-984,-1105,5,-273,7,92,-979,1104,648
46,912.5,-1273,-1044,220,-353,6,-14,-981,1088,654
47,931.8290000000001,-1122,-972,303,-251,-22,-123,-1008,1092,644
48,951.238,-1153,-881,281,-132,-80,-184,-987,1081,649
49,970.46,-1099,-841,130,-151,-78,-156,-1001,1087,668
50,990.1959999999999,-1068,-840,209,-314,-97,-160,-1001,1097,666
51,1009.588,-1137,-775,307,-295,-141,-126,-963,1105,658
52,1029.4479999999999,-1145,-743,276,-172,-215,-60,-963,1105,653
53,1049.456,-1141,-1020,170,-134,-218,-20,-985,1098,645
54,1069.258,-1124,-804,88,-95,-230,-6,-983,1102,651
55,1088.805,-1107,-847,68,-94,-191,-14,-969,1094,628
56,1108.325,-1131,-869,125,-54,-158,-21,-985,1095,634
57,1128.017,-1171,-883,239,20,-133,-65,-991,1101,633
58,1147.538,-1102,-819,201,72,-145,-160,-993,1101,620
59,1167.299,-943,-924,-31,154,-184,-91,-999,1102,651
60,1187.139,-911,-966,-139,91,-178,-24,-997,1120,573
61,1206.623,-1023,-849,162,-117,-85,-105,-979,1102,603
62,1226.374,-1119,-818,167,-22,-84,-51,-1005,1106,614
63,1246.165,-1094,-943,1,52,-120,72,-1003,1126,575
64,1265.824,-1059,-1048,-40,-78,-134,60,-1009,1107,609
65,1285.123,-1081,-998,50,-171,-70,11,-1001,1095,624
66,1304.108,-1099,-972,133,-145,-31,-29,-1005,1094,600
67,1323.032,-1056,-957,96,-70,-35,-6,-995,1088,623
68,1343.241,-1011,-925,36,-52,-37,1,-995,1114,611
69,1362.6100000000001,-1013,-900,50,-72,-11,-18,-999,1116,616
70,1382.3229999999999,-1048,-878,136,-78,32,-11,-1003,1120,604
71,1401.703,-1079,-923,213,-60,38,11,-999,1095,609
72,1421.3519999999999,-1079,-880,220,-10,23,15,-981,1109,612
73,1440.795,-1079,-851,168,10,-13,8,-983,1087,627
74,1460.201,-1072,-909,154,-43,-20,4,-993,1097,628
75,1479.948,-1085,-912,221,-61,-7,-11,-993,1089,615
76,1499.627,-1090,-855,235,20,-18,12,-983,1101,628
