,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,839.0260000000001,-1789,-728,760,924,-543,-911,-558,1533,-235
1,854.98,-2018,-567,634,1288,-985,-1229,-539,1528,-241
2,870.12,-2180,-623,661,1423,-1101,-1543,-529,1539,-284
3,885.085,-2310,-671,1007,1480,-1785,-1863,-507,1537,-314
4,900.417,-2396,-1022,821,1375,-2079,-2194,-442,1533,-350
5,915.472,-2373,-957,913,1417,-2615,-2434,-417,1516,-363
6,930.496,-2344,-1522,1000,1803,-3089,-2470,-350,1524,-393
7,945.572,-2299,-1258,1117,2323,-3493,-2408,-299,1510,-445
8,960.883,-2242,-1181,1187,3034,-3867,-2280,-238,1502,-561
9,976.067,-2031,-1132,1144,3144,-4221,-2079,-171,1427,-567
10,991.097,-1609,-629,1113,3253,-4539,-1839,-25,1386,-598
11,1006.143,-1183,-454,1126,3028,-4619,-1628,34,1315,-633
12,1021.145,-926,-138,948,2784,-4534,-1474,140,1289,-623
13,1036.959,-703,248,874,2601,-4432,-1325,187,1238,-599
14,1053.943,-477,13,750,2415,-4409,-1205,300,1158,-583
15,1069.7669999999998,-146,109,737,2327,-4408,-1021,376,1099,-565
16,1084.75,77,128,711,2294,-4368,-811,434,1063,-549
17,1099.7630000000001,148,78,834,2324,-4308,-603,475,1026,-545
18,1114.972,301,144,828,2658,-4242,-400,544,1006,-472
19,1130.573,546,324,852,2938,-4069,-188,587,945,-434
20,1145.566,523,232,977,2973,-4125,-240,680,908,-389
21,1160.629,734,284,1066,3008,-3572,191,705,869,-330
22,1175.8090000000002,1013,353,1192,3163,-3251,236,735,857,-300
23,1190.951,788,412,1374,3182,-2794,461,770,833,-254
24,1205.889,760,467,1368,2856,-2496,571,772,829,-194
25,1221.011,874,448,1216,2489,-2264,639,803,799,-151
26,1236.724,879,328,1084,2172,-1908,779,840,799,-131
27,1251.952,886,319,1016,1981,-1500,912,834,795,-68
28,1269.367,852,443,944,1564,-803,1046,837,791,-86
29,1285.679,758,447,817,1496,-675,1051,835,813,-53
30,1300.905,770,468,552,1289,-383,1158,843,841,-62
31,1316.187,759,443,484,1117,59,1289,835,835,-23
32,1331.275,618,310,565,1052,544,1441,829,843,-69
33,1346.111,338,201,670,1001,1242,1518,831,882,-70
34,1361.218,-10,223,700,945,1403,1565,841,910,-95
35,1376.379,-88,361,417,740,1812,1578,807,929,-130
36,1391.645,77,313,270,360,2222,1549,793,953,-140
37,1406.7549999999999,-142,429,290,193,3019,1495,768,970,-177
38,1421.7269999999999,-692,367,500,488,3281,1563,758,1000,-228
39,1436.956,-1070,551,627,767,3760,1791,709,1006,-278
40,1452.132,-1348,556,643,556,4045,1988,713,1034,-356
41,1469.163,-1527,498,648,233,4194,2117,597,1077,-417
42,1484.7060000000001,-1560,251,914,-387,4089,2180,560,1099,-440
43,1499.974,-912,-903,2429,-1673,3489,1840,500,1146,-500
44,1515.3509999999999,607,-1240,2087,-3079,1568,718,439,1209,-472
45,1530.44,688,270,826,-4392,-485,-494,463,1284,-464
46,1546.0179999999998,-268,543,1559,-2792,-4,-509,475,1310,-421
47,1561.0649999999998,-137,39,1662,-376,-187,52,448,1318,-457
48,1576.442,236,33,948,611,-242,174,471,1302,-465
49,1591.712,250,357,837,1339,30,90,477,1285,-465
50,1606.63,225,196,1056,1062,133,58,480,1275,-481
51,1621.8790000000001,193,144,1156,302,111,-51,475,1256,-474
52,1637.028,155,502,1225,-262,81,-121,471,1282,-459
53,1652.091,137,217,1281,-828,59,-112,465,1274,-477
54,1667.41,125,198,1320,-1176,59,-113,461,1281,-421
55,1684.6870000000001,151,213,1425,-887,101,-64,479,1305,-473
56,1700.761,175,189,1430,-423,141,-35,453,1307,-450
57,1715.969,180,188,1438,-163,137,-48,473,1321,-436
58,1731.2160000000001,153,172,1467,90,122,-36,473,1290,-432
59,1747.0529999999999,97,187,1457,216,83,-33,479,1296,-451
60,1762.0620000000001,102,223,1470,304,50,-14,475,1315,-418
61,1777.209,114,205,1381,270,25,-5,469,1268,-451
62,1792.3020000000001,110,230,1316,128,19,-27,461,1270,-434
63,1807.444,103,230,1350,-39,40,-54,451,1258,-459
64,1822.47,108,204,1379,-141,38,-48,447,1288,-483
65,1837.7079999999999,89,213,1354,-182,23,-41,463,1264,-443
66,1852.82,114,233,1293,-216,5,-28,479,1277,-449
67,1867.945,111,219,1294,-182,15,-18,475,1272,-452
