,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1299,-353,290,94,-7,-77,-700,376,-202
1,13.028,-1278,-418,297,119,4,-102,-706,374,-207
2,25.694000000000003,-1025,-464,294,125,21,-132,-704,384,-191
3,38.337,-1292,-549,279,134,40,-190,-704,396,-156
4,50.846000000000004,-1313,-665,296,165,61,-275,-720,388,-165
5,63.512,-1320,-757,320,225,95,-369,-759,398,-152
6,75.944,-1320,-829,376,319,115,-484,-736,406,-164
7,88.66300000000001,-1309,-857,469,454,120,-610,-747,428,-128
8,101.127,-1326,-868,503,498,88,-730,-747,420,-134
9,113.82499999999999,-1336,-923,476,555,61,-890,-755,422,-146
10,126.37799999999999,-1367,-1013,443,540,46,-1079,-763,441,-111
11,138.721,-1405,-1148,437,472,34,-1264,-801,441,-74
12,151.24099999999999,-1432,-1242,483,435,34,-1448,-795,467,-95
13,163.798,-1457,-1330,493,425,19,-1579,-816,498,-95
14,176.077,-1458,-1448,499,483,1,-1731,-836,542,-79
15,188.59400000000002,-1495,-1493,488,584,-23,-1904,-885,552,-69
16,201.305,-1291,-1467,473,628,-65,-2096,-885,587,-107
17,213.914,-1580,-1493,465,535,-95,-2265,-905,628,-77
18,226.631,-1624,-1608,470,341,-80,-2520,-942,695,-45
19,239.39,-1654,-1768,464,325,-54,-2755,-942,746,-65
20,251.971,-1703,-1912,432,407,-17,-2954,-980,815,-72
21,263.861,-1745,-1988,402,534,5,-3120,-991,912,-69
22,275.645,-1779,-2010,367,689,1,-3305,-984,969,-49
23,288.69800000000004,-1769,-1884,323,723,-2,-3487,-997,1063,-30
24,301.037,-1734,-1715,327,663,-19,-3592,-993,1150,-75
25,313.457,-1594,-1727,297,576,-10,-3686,-966,1248,-82
26,325.934,-1500,-1757,341,426,-14,-3802,-940,1331,-57
27,338.625,-1335,-1757,308,448,14,-3849,-899,1396,-53
28,350.482,-1311,-1745,347,675,46,-3860,-826,1486,-50
29,364.67199999999997,-1244,-1624,287,698,59,-3907,-785,1553,-93
30,377.395,-1156,-1491,193,645,81,-3915,-732,1601,-113
31,389.72200000000004,-1039,-1474,111,469,113,-3896,-649,1683,-102
32,402.06199999999995,-944,-1416,164,436,150,-3839,-586,1735,-119
33,414.642,-897,-1387,224,553,196,-3787,-523,1776,-151
34,427.452,-827,-1236,234,718,229,-3713,-460,1808,-128
35,439.995,-726,-1081,232,858,214,-3618,-399,1825,-137
36,452.57599999999996,-656,-1099,211,966,200,-3513,-324,1876,-192
37,465.09099999999995,-623,-1088,168,1003,198,-3441,-249,1868,-207
38,477.599,-549,-830,146,1062,199,-3344,-171,1866,-215
39,490.11,-335,-552,106,1060,180,-3172,-114,1837,-241
40,502.738,-258,-460,123,936,221,-3026,-35,1833,-240
41,515.131,-148,-441,221,678,502,-2871,16,1831,-242
42,527.6809999999999,-78,-503,350,624,314,-2706,81,1807,-294
43,540.096,-124,-642,383,500,339,-2605,111,1805,-341
44,552.806,-149,-577,366,440,372,-2524,111,1768,-335
45,565.331,-15,-244,248,397,432,-2076,162,1778,-318
46,578.0640000000001,88,-49,205,253,447,-2126,219,1757,-345
47,590.739,194,-100,261,69,460,-1956,231,1753,-336
48,603.149,192,-348,388,-143,509,-1843,272,1753,-323
49,615.911,217,-368,564,-341,542,-1737,274,1753,-303
50,628.5070000000001,204,-347,697,-300,552,-1593,306,1743,-330
51,640.7819999999999,259,-140,802,-232,519,-1409,343,1749,-330
52,653.3870000000001,367,-15,843,-502,450,-1235,329,1721,-326
53,665.665,449,-104,854,-220,381,-1083,367,1733,-337
54,678.346,564,-171,857,-236,338,-945,365,1727,-343
55,690.976,635,-235,930,-306,278,-820,392,1733,-318
56,703.3430000000001,659,-259,1275,-136,231,-694,402,1731,-327
57,716.052,662,-170,1050,-137,166,-597,388,1737,-340
58,728.842,724,-195,1087,-204,92,-502,394,1723,-313
59,741.499,792,-216,1075,-173,26,-405,404,1725,-326
60,753.726,828,-261,1060,-228,-20,-332,410,1756,-333
61,766.3910000000001,865,-302,1043,-216,-73,-269,424,1738,-319
62,778.7460000000001,907,-310,1030,-173,-96,-205,435,1734,-300
63,791.47,905,-315,1042,-80,-97,-155,443,1729,-335
64,803.997,906,-323,1030,12,-103,-115,418,1733,-316
65,816.803,939,-289,1014,69,-97,-75,430,1737,-303
66,829.477,909,-359,1006,65,-109,-50,430,1723,-304
67,841.789,927,-399,980,-34,-102,-37,428,1723,-305
68,854.384,951,-427,957,-86,-83,-20,420,1731,-304
69,866.976,937,-438,971,-80,-75,-13,422,1741,-329
70,879.4110000000001,919,-416,971,-14,-79,-14,410,1729,-295
71,892.0519999999999,909,-414,950,66,-65,-4,424,1727,-301
72,904.704,890,-425,939,151,-61,4,424,1733,-325
73,917.474,893,-382,918,188,-55,5,418,1719,-330
74,929.8910000000001,895,-385,889,153,-58,10,414,1729,-313
75,942.546,895,-390,874,58,-66,11,410,1739,-304
76,954.955,885,-424,876,-12,-66,10,416,1723,-324
77,967.543,882,-426,907,-51,-68,3,430,1725,-321
78,979.908,886,-411,925,-31,-82,12,428,1711,-317
79,992.302,889,-388,930,2,-85,11,422,1740,-320
80,1005.147,879,-401,941,54,-96,25,426,1717,-321
81,1017.9069999999999,876,-398,930,103,-99,30,428,1731,-327
82,1030.2450000000001,891,-397,937,121,-107,32,428,1737,-337
83,1042.53,891,-384,931,86,-110,36,428,1739,-301
84,1055.014,880,-399,939,64,-113,41,443,1719,-355
85,1067.639,881,-416,945,39,-107,46,416,1719,-332
86,1080.158,905,-413,938,50,-107,50,433,1713,-310
87,1092.523,931,-389,941,108,-116,50,449,1729,-316
88,1105.2340000000002,955,-371,954,161,-118,50,418,1729,-352
89,1118.143,950,-367,933,169,-119,50,418,1717,-352
90,1130.61,920,-378,936,131,-112,48,433,1721,-341
91,1143.069,936,-399,909,88,-102,43,426,1715,-322
92,1155.7,936,-420,907,38,-97,39,453,1732,-293
93,1168.408,947,-439,924,20,-92,26,418,1705,-333
94,1180.9160000000002,937,-425,938,23,-92,14,418,1709,-328
95,1193.209,943,-397,931,47,-94,2,416,1713,-323
96,1205.865,938,-367,931,54,-103,-4,430,1711,-333
97,1218.642,927,-331,910,69,-104,-2,422,1721,-367
98,1231.2920000000001,933,-353,900,70,-112,-1,424,1717,-349
99,1243.8590000000002,932,-343,897,64,-107,6,420,1729,-357
100,1256.564,906,-336,899,64,-98,11,453,1709,-325
101,1269.232,898,-337,911,49,-98,16,437,1691,-374
102,1281.6129999999998,885,-355,921,34,-106,19,418,1703,-337
103,1294.246,897,-359,920,18,-102,23,433,1715,-323
104,1307.1699999999998,923,-390,898,-255,-105,19,433,1711,-352
105,1319.7259999999999,914,-394,897,-3,-103,20,433,1721,-330
106,1332.192,922,-383,923,-5,-103,16,428,1717,-344
107,1344.7,912,-372,932,1,-92,14,430,1713,-323
108,1357.2830000000001,905,-359,930,-7,-89,17,445,1713,-336
109,1369.888,934,-372,922,-2,-87,16,420,1715,-335
110,1382.48,949,-365,932,9,-87,15,410,1703,-358
111,1394.997,929,-366,929,11,-89,12,406,1713,-331
112,1407.81,927,-342,941,13,-88,11,438,1723,-358
113,1420.42,908,-346,948,21,-82,21,420,1705,-372
114,1432.998,911,-338,964,39,-80,27,424,1707,-361
115,1445.668,916,-331,957,66,-77,35,430,1696,-344
116,1458.168,929,-338,934,86,-77,44,422,1688,-369
117,1470.693,943,-323,924,93,-70,47,426,1707,-351
118,1483.02,949,-311,912,86,-71,49,412,1696,-382
119,1495.2730000000001,930,-325,914,63,-70,50,432,1703,-317
