,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1284,-738,886,-186,-66,-299,-895,503,-286
1,21.305,-1355,-1265,794,-194,-163,-702,-901,523,-307
2,42.192,-1443,-1400,725,-188,-182,-1518,-897,549,-282
3,63.447,-1587,-1941,1265,151,-110,-1835,-938,592,-276
4,84.354,-1489,-2182,970,1297,-182,-2418,-948,636,-278
5,105.43900000000001,-1136,-1997,728,2390,-255,-2889,-994,663,-254
6,125.079,-788,-1841,541,2554,32,-3479,-1009,718,-259
7,144.13799999999998,-425,-1896,410,1956,748,-3889,-1037,813,-223
8,164.388,-209,-2193,202,1620,890,-4360,-1080,864,-207
9,184.07999999999998,-149,-2094,-142,1887,1743,-4632,-1088,991,-178
10,203.787,-201,-1873,-456,2216,2368,-5363,-1082,1075,-137
11,223.409,-349,-1816,-623,2292,3179,-5597,-1070,1223,-36
12,242.851,-604,-2019,-722,2057,3674,-5647,-1070,1302,225
13,262.582,-730,-1602,-1271,3002,4278,-6684,-1019,1482,100
14,281.90500000000003,-680,-1430,-1109,2478,4167,-6721,-936,1545,141
15,302.164,-434,-2052,-1250,1535,4161,-6737,-794,1716,162
16,321.749,-277,-2480,-1446,1517,4136,-6610,-712,1796,207
17,341.32099999999997,0,-2296,-1234,1952,4308,-6531,-546,1896,211
18,360.97,142,-2424,-1003,1483,4119,-6615,-416,1935,207
19,380.75,295,-2826,-1052,844,3963,-6953,-228,1929,219
20,400.36699999999996,849,-2827,-931,1025,3667,-7536,-106,1952,160
21,419.712,1309,-2622,-809,1345,2786,-7710,164,1891,147
22,439.41999999999996,698,-2577,-531,761,3011,-7993,259,1781,57
23,459.075,1223,-3138,23,362,2375,-8761,468,1726,28
24,478.694,1743,-3277,279,1228,1946,-8637,673,1513,12
25,498.37199999999996,1627,-2697,569,1797,1606,-8169,734,1422,-84
26,517.9789999999999,1673,-1607,752,2371,878,-7592,833,1164,-172
27,537.75,2408,-1196,1148,2993,320,-6337,870,1022,-164
28,557.6,2870,-1446,2116,2772,8,-4626,888,865,-228
29,576.4,1343,-614,2250,2180,-87,-2781,922,776,-183
30,596.614,899,678,1082,1847,-234,-1440,914,697,-173
31,616.271,1307,996,1040,1707,554,100,922,689,-211
32,635.521,-485,1073,733,1767,1961,2616,896,724,-232
33,655.1479999999999,-1697,1304,-248,368,2450,4002,882,770,-509
34,674.8389999999999,-3390,792,-353,-1773,3445,4942,793,959,-366
35,694.4860000000001,-6287,-55,-378,-3507,5498,6101,697,1081,-472
36,714.197,-5243,-1119,177,-4758,5434,4859,501,1300,-465
37,733.773,-825,-4415,2068,-4027,4244,2677,411,1407,-483
38,753.524,-811,142,651,-1602,-1634,-2090,476,1395,-464
39,773.2639999999999,-1650,419,1002,3755,-565,80,462,1389,-490
40,792.928,-410,-229,102,4743,170,144,488,1228,-566
41,812.472,464,492,742,1357,92,-300,500,1186,-564
42,831.866,-586,455,1682,-1679,967,-863,513,1210,-551
43,851.121,-549,-234,1705,-2597,185,-616,480,1267,-539
44,870.7479999999999,60,-228,1661,-855,-158,-373,488,1301,-517
45,890.1329999999999,154,32,1586,541,-102,-431,494,1260,-504
46,909.341,168,184,1358,918,-202,-309,488,1237,-514
47,928.024,145,122,1348,721,-51,-294,490,1225,-546
48,948.4240000000001,15,211,1358,373,72,-244,484,1235,-546
49,968.1260000000001,64,-28,1405,-150,25,-209,478,1229,-572
50,987.599,-4,-8,1387,-205,42,-242,482,1243,-541
51,1006.985,-67,-30,1339,-288,-50,-221,746,1233,-547
52,1026.841,-71,-113,1221,-346,-99,-248,505,1235,-525
53,1046.35,-80,0,1186,-251,-130,-298,519,1212,-532
54,1065.866,139,-81,1234,-244,-168,-314,511,1231,-507
55,1085.556,105,41,1509,79,126,-152,521,1229,-498
56,1105.2040000000002,265,-100,1295,186,123,-71,514,1232,-513
57,1124.455,170,23,1429,118,235,-39,518,1204,-564
58,1144.2,118,-13,1494,-62,129,-7,514,1230,-541
59,1163.754,62,11,1500,31,135,39,502,1206,-557
60,1183.454,40,-61,1507,80,119,49,496,1202,-552
61,1203.173,38,-95,1546,78,78,45,511,1204,-549
62,1222.859,46,-81,1520,46,20,36,502,1174,-564
63,1242.24,34,-65,1499,-254,6,32,496,1206,-579
64,1261.445,12,-145,1437,-54,-40,45,507,1188,-559
65,1280.921,62,-154,1409,-110,-26,12,502,1218,-553
66,1300.446,59,-148,1432,-154,-28,-20,498,1198,-558
67,1320.12,61,-128,1381,-62,-45,-22,486,1198,-570
68,1339.483,47,-114,1315,28,-35,-29,513,1198,-548
69,1359.059,76,-97,1332,33,7,-43,511,1202,-551
70,1378.1650000000002,79,-71,1338,29,21,-41,482,1208,-522
71,1397.8690000000001,119,-41,1341,30,15,-40,517,1190,-551
72,1417.625,133,-4,1341,13,29,-41,502,1188,-553
73,1437.3419999999999,105,-38,1409,-38,34,-31,504,1200,-556
74,1456.489,90,-48,1414,46,16,-18,500,1202,-554
75,1475.857,95,-7,1389,105,8,-25,509,1180,-556
76,1495.578,104,14,1385,58,16,-38,507,1176,-553
