,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-920,-873,-253,540,262,132,-86,800,72
1,18.855,-924,-927,-372,602,247,53,-51,790,61
2,37.152,-1051,-1148,-503,475,76,-94,-88,821,41
3,55.509,-1173,-1517,-667,332,-56,-366,-86,835,50
4,74.017,-1315,-2029,-767,330,-110,-757,-73,831,56
5,92.563,-1550,-1873,-591,549,147,-1356,-88,886,64
6,110.872,-1620,-1829,-357,429,402,-2071,-71,906,56
7,127.97200000000001,-1593,-1878,-442,75,876,-2681,-55,963,90
8,145.177,-1394,-2128,-586,14,1231,-3150,-49,1009,141
9,162.188,-1248,-2181,-639,132,1406,-3532,6,1058,128
10,179.461,-1141,-1964,-583,271,1498,-3813,56,1139,161
11,196.579,-955,-1647,-462,153,1477,-3932,105,1182,156
12,213.477,-684,-1404,-344,48,1443,-3939,133,1218,186
13,230.606,-409,-1322,-373,511,1465,-3891,212,1297,203
14,247.81300000000002,-295,-1353,-555,280,1472,-3896,265,1342,222
15,264.78000000000003,-259,-1439,-664,69,1376,-3918,271,1362,207
16,282.077,-243,-1379,-617,87,1274,-3835,401,1416,223
17,299.346,-172,-1325,-614,298,1383,-3785,441,1426,224
18,316.39,-146,-1195,-641,349,1569,-3835,498,1455,251
19,333.53,-35,-1135,-672,206,1690,-3860,608,1473,264
20,350.677,5,-1111,-667,165,1776,-3728,687,1483,230
21,367.70399999999995,91,-978,-683,320,1759,-3510,731,1485,243
22,384.686,149,-986,-609,142,1750,-3334,841,1490,228
23,401.86,232,-982,-592,139,1795,-3172,908,1490,224
24,419.038,295,-919,-487,7,1893,-3046,926,1474,208
25,436.20300000000003,409,-956,-498,105,2037,-2930,1056,1451,205
26,453.217,481,-832,-454,260,2054,-2783,1113,1465,178
27,470.43800000000005,473,-733,-322,345,2037,-2669,1137,1398,125
28,487.656,555,-742,-192,115,2028,-2617,1242,1390,105
29,504.674,637,-768,-509,28,2141,-2492,1295,1372,122
30,521.9540000000001,719,-732,-255,-22,2160,-2373,1352,1336,84
31,539.153,757,-594,-202,-78,2133,-2242,1382,1303,52
32,556.215,708,-438,-33,-214,2020,-2076,1425,1281,-15
33,573.41,712,-377,173,-396,1925,-1962,1480,1226,-47
34,590.519,778,-332,315,-548,1971,-1895,1496,1194,-52
35,607.7040000000001,882,-328,277,-647,2037,-1848,1514,1175,-123
36,624.819,952,-247,251,-792,2084,-1542,1553,1115,-139
37,641.989,941,39,289,-829,1917,-1644,1593,1105,-132
38,659.211,891,281,271,-1148,1720,-1566,1603,1062,-199
39,676.275,942,80,388,-1752,1452,-1474,1633,1001,-182
40,693.374,1040,-83,595,-2073,1275,-1276,1645,980,-195
41,710.493,1002,-146,911,-1889,1255,-1346,1660,944,-245
42,727.73,923,-490,1069,-2494,1360,-1306,1662,926,-268
43,744.736,812,-462,256,-2248,1370,-907,1684,898,-271
44,761.961,1000,-1229,638,-2500,94,-513,1660,865,-274
45,779.173,1185,-636,665,-291,-804,217,1666,867,-237
46,796.261,1323,-652,414,276,-73,-122,1668,867,-255
47,813.4540000000001,1206,-371,403,-417,105,-128,1662,867,-228
48,830.647,1142,-460,487,-659,86,-229,1672,847,-263
49,847.778,1178,-491,562,-378,-87,-78,1666,861,-237
50,864.83,1234,-427,456,-146,-127,48,1650,841,-249
51,882.047,1240,-330,454,-129,-120,63,1670,869,-235
52,899.2679999999999,1198,-343,539,-301,-83,34,1686,863,-241
53,916.322,1227,-507,576,-314,65,-31,1672,861,-234
54,933.3489999999999,1232,-409,517,-130,124,-20,1654,867,-243
55,950.635,1229,-375,429,-70,125,-50,1676,865,-250
56,967.72,1204,-377,419,-146,48,-71,1668,857,-210
57,984.775,1158,-415,764,-3,-14,-85,1649,845,-243
58,1001.792,1198,-558,497,-226,25,-58,1676,849,-247
59,1018.867,1198,-468,256,-35,59,9,1662,855,-255
60,1036.108,1196,-374,468,58,78,18,1655,839,-268
61,1053.078,1165,-344,461,24,28,13,1680,859,-261
62,1070.232,1170,-415,486,-66,-22,9,1668,849,-242
63,1087.3809999999999,1162,-399,490,-69,-52,45,1672,857,-277
64,1104.441,1158,-345,496,-50,-56,55,1662,863,-255
65,1121.693,1147,-320,489,-83,-42,67,1660,875,-251
66,1138.846,1173,-385,463,-129,-71,61,1678,857,-504
67,1156.048,1177,-438,487,-164,-125,62,1656,859,-242
68,1173.166,1219,-523,513,-183,-127,49,1650,867,-274
69,1190.366,1220,-488,545,-53,-105,52,1660,857,-247
70,1207.579,1184,-335,484,68,-50,39,1672,857,-264
71,1224.655,1173,-318,475,-11,-78,13,1660,873,-262
72,1241.892,1156,-397,483,-127,-123,15,1656,841,-267
73,1259.029,1172,-455,467,-128,-132,32,1660,863,-255
74,1276.21,1194,-469,488,-63,-135,49,1672,847,-241
75,1293.303,1192,-386,478,11,-107,54,1672,881,-248
76,1310.468,1202,-364,480,-26,-120,40,1666,886,-251
77,1327.696,1174,-361,495,-81,-140,37,1692,863,-247
78,1344.895,1172,-395,493,-126,-150,33,1676,886,-237
79,1362.137,1196,-411,482,-157,-133,38,1668,857,-238
80,1379.3629999999998,1208,-410,460,-132,-125,27,1662,869,-222
81,1396.588,1200,-363,472,-103,-129,-4,1676,857,-210
82,1413.57,1200,-425,469,-199,-140,-22,1649,867,-215
83,1430.684,1186,-468,485,-211,-140,3,1666,873,-233
84,1447.865,1183,-463,475,-145,-125,12,1662,875,-228
85,1464.976,1220,-463,463,-106,-126,18,1666,871,-249
86,1482.168,1212,-358,437,-38,-135,13,1650,886,-211
87,1499.42,1193,-382,461,-114,-135,-19,1658,886,-226
