,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-875,-918,-148,1012,220,-23,-92,932,4
1,18.824,-863,-959,-81,1136,395,60,-69,930,30
2,36.958999999999996,-892,-1000,22,1368,618,74,-86,946,46
3,55.455,-941,-1050,87,1485,783,15,-76,948,44
4,73.953,-1137,-1190,137,1721,817,-46,-71,971,51
5,92.342,-1460,-1339,357,2067,662,-121,-67,997,95
6,110.043,-1741,-1334,431,2370,598,-205,-63,1021,61
7,127.19800000000001,-1763,-1212,471,2689,430,-319,-55,1076,72
8,144.309,-1777,-1120,533,2564,241,-445,-39,1082,48
9,161.36800000000002,-1843,-983,586,2726,50,-537,-51,1113,61
10,178.437,-1829,-808,619,2464,-153,-700,-53,1125,20
11,195.602,-1745,-830,615,2039,-397,-766,-33,1165,7
12,212.76600000000002,-1638,-838,551,1785,-616,-712,-29,1171,-31
13,229.798,-1547,-852,323,1509,-709,-613,-31,1212,-33
14,246.81,-1498,-797,143,1410,-928,-448,-31,1214,-84
15,263.819,-1439,-724,57,1028,-1178,-277,-39,1247,-109
16,280.921,-1327,-779,-30,1099,-1309,-111,-37,1265,-112
17,297.974,-1169,-888,-87,1113,-1428,116,-59,1257,-146
18,315.21900000000005,-1040,-943,-167,1385,-1398,374,-57,1253,-231
19,332.252,-921,-850,-187,1725,-1432,611,-45,1248,-226
20,349.31,-845,-976,237,1883,-1381,727,-80,1269,-281
21,366.378,-798,-964,215,2550,-1153,879,-82,1236,-371
22,383.623,-724,-1088,293,2751,-493,899,-92,1218,-361
23,400.59099999999995,-638,-974,279,3014,471,923,-90,1216,-366
24,417.584,-608,-908,327,3147,1234,837,-88,1173,-399
25,434.632,-614,-812,329,3112,1447,767,-108,1173,-369
26,451.54499999999996,-596,-790,328,3088,1796,708,-104,1165,-391
27,468.587,-555,-810,300,3166,2087,607,-98,1124,-352
28,485.649,-558,-715,386,3305,2386,452,-126,1133,-310
29,502.785,-652,-831,431,3274,2633,174,-128,1125,-315
30,519.719,-751,-712,474,3279,2802,-96,-108,1160,-261
31,536.87,-871,-547,518,3033,2930,-423,-110,1129,-227
32,553.895,-871,-261,527,2558,2843,-718,-100,1131,-206
33,570.956,-908,-516,529,2151,2831,-940,-59,1176,-167
34,588.018,-933,-479,530,1566,2802,-1150,-55,1192,-118
35,605.23,-955,-440,491,1512,2811,-1293,-19,1228,-74
36,622.235,-974,-418,429,1263,2741,-1406,16,1234,-65
37,639.355,-968,-398,525,912,2644,-1576,40,1273,-15
38,656.361,-959,-534,412,476,2743,-1733,70,1297,35
39,673.601,-1066,-670,209,331,3012,-1865,121,1352,44
40,690.6360000000001,-1083,-631,165,336,2717,-1887,150,1360,67
41,707.661,-1184,-811,16,240,2588,-2047,198,1395,140
42,724.631,-1202,-832,-76,395,2326,-2043,275,1421,143
43,741.75,-1196,-805,-42,622,2013,-2139,283,1446,140
44,758.738,-1070,-958,-95,669,1931,-2285,344,1500,143
45,775.8629999999999,-1101,-997,-94,869,1918,-2413,407,1500,157
46,792.987,-1198,-1083,-211,1024,2098,-2496,464,1522,176
47,809.8919999999999,-1219,-1128,-300,1119,1934,-2468,500,1559,143
48,827.029,-1147,-1060,-340,1069,1671,-2478,571,1585,149
49,844.446,-1350,-911,-329,1025,1322,-2384,626,1587,121
50,861.4889999999999,-1448,-824,-138,1172,728,-2172,634,1616,96
51,878.394,-1471,-876,-109,1063,323,-2079,699,1602,103
52,895.497,-1295,-1277,-152,842,-59,-1996,703,1628,56
53,912.706,-1125,-955,-171,897,-471,-1740,764,1636,33
54,929.7299999999999,-1144,-865,-253,960,-676,-1481,776,1642,10
55,946.865,-1279,-861,-105,1005,-1104,-1208,792,1630,38
56,963.896,-1188,-1059,-115,747,-1250,-1033,813,1650,2
57,981.0219999999999,-1132,-1095,-254,471,-1243,-847,817,1658,-13
58,998.031,-1061,-919,-464,112,-1277,-684,782,1672,-42
59,1015.236,-947,-982,-451,313,-1330,-465,794,1652,-57
60,1032.306,-788,-1185,-420,256,-1701,-211,784,1675,-17
61,1049.458,-692,-1171,-260,528,-1953,43,790,1666,-52
62,1066.576,-685,-1214,-493,547,-1455,-13,778,1679,-20
63,1083.608,-697,-1123,-395,723,-1230,95,766,1675,-59
64,1100.7050000000002,-704,-1065,-323,735,-1238,151,764,1679,-74
65,1117.78,-643,-1177,-256,492,-1182,177,758,1693,-85
66,1135.0690000000002,-624,-1187,-105,-162,-1203,205,725,1709,-97
67,1152.21,-568,-1162,-81,94,-875,155,717,1700,-111
68,1169.153,-520,-1205,-64,283,-481,97,731,1715,-102
69,1186.3429999999998,-506,-1330,2,297,-200,81,713,1682,-126
70,1203.545,-568,-1341,86,165,37,78,725,1693,-114
