,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1065,-654,4,235,91,0,-112,845,-32
1,18.761,-1137,-673,-11,214,63,37,-104,839,-26
2,37.396,-1250,-872,94,361,-109,78,-112,869,-12
3,55.627,-1418,-1149,211,551,-195,20,-128,863,-37
4,74.426,-1578,-1413,262,1514,-301,-223,-112,892,-63
5,93.107,-1766,-1615,451,2372,-342,-689,-124,894,-25
6,111.954,-1769,-1725,669,3359,-504,-1170,-138,961,-69
7,130.64000000000001,-1736,-1727,895,3097,-982,-2046,-124,985,-101
8,149.318,-1575,-1676,1164,2779,-1147,-2365,-142,1095,-132
9,167.442,-1413,-1957,1226,2357,-1342,-2872,-144,1153,-186
10,184.67700000000002,-1097,-1675,1155,2728,-1790,-3110,-112,1180,-201
11,201.848,-827,-1575,998,2264,-1844,-3568,-78,1273,-271
12,219.182,-746,-1423,1106,1512,-2193,-3494,-78,1318,-329
13,236.33100000000002,-583,-1400,1193,909,-2443,-3734,-35,1332,-400
14,253.61499999999998,-394,-1380,1128,143,-2569,-4303,64,1443,-422
15,270.864,-315,-1399,1028,-644,-2619,-4533,115,1472,-450
16,287.894,-115,-1355,940,-1051,-2754,-4896,164,1777,-486
17,305.12600000000003,77,-1302,836,-951,-2393,-5165,281,1596,-486
18,322.544,159,-1182,638,-353,-2008,-5305,348,1624,-489
19,339.69100000000003,191,-960,460,322,-1557,-5274,421,1664,-524
20,356.614,255,-765,344,570,-1385,-5115,590,1691,-558
21,373.863,452,-435,209,686,-1396,-4949,683,1689,-549
22,391.053,785,-405,182,-38,-1472,-4794,998,1681,-579
23,408.418,1030,-674,230,-623,-1296,-4489,863,1697,-531
24,425.52,1153,-846,508,-151,-993,-3940,900,1664,-554
25,442.882,1258,-753,254,725,-689,-3300,995,1640,-581
26,460.178,1327,-442,131,1436,-348,-2695,1056,1626,-617
27,477.30400000000003,1280,-266,135,1604,-241,-2024,1101,1620,-646
28,494.544,1191,-172,263,1361,-265,-1034,1131,1600,-679
29,511.834,996,-45,309,1432,-48,-309,1133,1568,-666
30,529.038,835,-162,180,161,141,-88,1140,1574,-685
31,546.15,788,-343,232,-419,252,349,1121,1588,-692
32,563.519,689,-430,333,-483,351,859,1109,1563,-680
33,580.495,314,-671,484,-632,496,1442,1107,1598,-669
34,597.443,387,-563,416,125,652,2051,1034,1630,-688
35,614.653,182,-345,197,5,908,2389,1022,1608,-688
36,631.867,-477,-749,248,-1303,630,2514,987,1659,-681
37,649.241,-454,-1099,650,-2659,315,2758,884,1685,-628
38,666.365,-808,-1152,617,-349,719,2983,859,1691,-623
39,683.708,-877,-1311,409,-907,500,3191,758,1711,-586
40,700.981,-743,-1345,513,-248,152,3056,724,1697,-616
41,718.091,-618,-1487,1020,223,22,2814,695,1695,-611
42,735.287,-430,-1318,762,-220,230,2293,610,1701,-580
43,752.574,-244,-1218,568,-317,2,1742,604,1677,-601
44,769.678,-86,-1321,529,-442,187,1295,569,1681,-561
45,786.71,7,-1182,685,-126,82,1050,535,1701,-554
46,803.928,2,-1140,775,109,51,917,515,1670,-538
47,821.101,25,-1220,809,199,55,759,508,1677,-569
48,838.453,52,-1255,669,64,103,267,494,1695,-596
49,855.475,86,-1217,668,-106,44,313,472,1703,-547
50,872.833,117,-1210,710,-180,-64,184,490,1671,-571
51,890.076,76,-1205,735,-125,-104,136,472,1681,-577
52,907.183,75,-1215,721,-142,-145,124,468,1681,-547
53,924.517,75,-1155,724,-135,-148,109,468,1661,-573
54,941.791,128,-1156,698,-207,-131,82,476,1691,-566
55,959.152,157,-1249,702,-288,-71,53,464,1675,-550
56,976.263,173,-1253,738,-113,-28,74,478,1695,-549
57,993.45,181,-1246,757,44,28,101,460,1681,-533
58,1010.886,167,-1197,752,186,61,118,468,1664,-576
59,1027.976,165,-1156,718,125,64,103,466,1666,-573
60,1045.2379999999998,175,-1184,684,-5,24,75,458,1654,-558
61,1062.579,192,-1225,723,-92,-65,57,450,1681,-555
62,1079.799,215,-1212,710,-93,-99,45,450,1656,-554
63,1096.986,227,-1224,710,-96,-90,44,442,1660,-540
64,1114.3419999999999,224,-1232,690,-56,-59,52,435,1658,-547
65,1131.691,211,-1206,689,-50,-25,53,466,1679,-562
66,1148.8370000000002,233,-1179,665,-34,-21,45,452,1677,-562
67,1166.013,256,-1192,703,-83,-35,33,446,1666,-547
68,1183.287,239,-1168,686,-77,-73,41,430,1683,-559
69,1200.388,246,-1225,682,-118,-73,19,452,1653,-547
70,1217.682,254,-1210,698,-71,-59,16,419,1677,-548
71,1234.885,247,-1183,674,-66,-9,-9,444,1683,-563
72,1252.0800000000002,238,-1176,642,17,6,-22,448,1697,-568
73,1269.383,228,-1109,674,52,-9,-30,450,1673,-594
74,1286.6789999999999,237,-1162,691,-38,-41,-25,428,1689,-556
75,1303.8410000000001,226,-1180,703,-82,-52,1,434,1677,-555
76,1321.079,215,-1148,685,-71,-51,16,432,1683,-550
77,1338.341,219,-1160,685,-81,-59,23,442,1677,-525
78,1355.4330000000002,224,-1173,700,-107,-71,33,448,1665,-530
79,1372.714,209,-1190,692,-96,-54,35,415,1679,-532
80,1390.02,221,-1197,668,-66,-35,36,417,1691,-559
81,1407.1100000000001,202,-1190,686,-25,-27,33,436,1687,-546
82,1424.348,206,-1189,676,-37,-29,26,415,1664,-522
83,1441.722,202,-1213,707,-43,-37,25,448,1668,-553
84,1458.888,197,-1207,707,-27,-41,15,429,1689,-521
85,1475.9,214,-1205,685,-32,-23,3,438,1652,-545
86,1493.399,196,-1188,702,8,-29,4,433,1693,-540
