,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1328,-470,390,-132,-59,-223,-683,325,-90
1,13.242,-1340,-620,422,-259,-45,-288,-688,323,-155
2,25.946,-1346,-780,530,-250,-47,-379,-708,339,-126
3,38.64,-1325,-761,547,-152,-84,-474,-710,365,-159
4,51.551,-1286,-666,462,-97,-141,-570,-718,355,-114
5,64.099,-1327,-649,365,-156,-145,-686,-730,371,-117
6,76.717,-1389,-834,323,-305,-188,-875,-732,386,-131
7,89.584,-1448,-1206,446,-393,-288,-1160,-777,410,-132
8,102.27799999999999,-1476,-1430,549,-472,-357,-1344,-789,457,-153
9,115.07000000000001,-1424,-1566,635,-392,-416,-1583,-793,487,-151
10,127.57099999999998,-1417,-1467,647,-279,-444,-1774,-816,506,-163
11,140.21,-1415,-1247,599,-281,-453,-1913,-848,565,-191
12,152.955,-1376,-1248,522,-257,-443,-2283,-873,628,-216
13,165.563,-1388,-1388,521,-428,-430,-2208,-867,670,-188
14,177.998,-1409,-1501,428,-367,-340,-2381,-901,717,-205
15,190.478,-1402,-1608,391,-350,-308,-2522,-922,782,-208
16,203.049,-1488,-1736,359,-226,-232,-2674,-938,855,-220
17,215.542,-1488,-1768,291,-133,-176,-3069,-938,937,-235
18,227.864,-1478,-1640,220,-22,-92,-2910,-950,1006,-205
19,240.487,-1463,-1566,217,-4,10,-3006,-962,1262,-202
20,252.98700000000002,-1483,-1612,258,-61,117,-3109,-946,1085,-211
21,265.34499999999997,-1463,-1710,230,-157,226,-3224,-946,1172,-204
22,277.866,-1460,-1855,186,-114,329,-3321,-925,1270,-204
23,290.29,-1416,-1936,71,-68,435,-3414,-907,1333,-158
24,302.977,-1379,-1897,-24,-58,554,-3508,-875,1428,-170
25,315.565,-1320,-1917,-71,-89,679,-3566,-828,1508,-144
26,327.90599999999995,-1322,-1932,-18,-208,787,-3639,-797,1587,-142
27,340.67900000000003,-1210,-1868,25,-295,918,-3709,-759,1656,-99
28,353.39799999999997,-1085,-1701,-9,-322,1045,-3744,-700,1723,-105
29,365.721,-953,-1735,-24,-246,1195,-3721,-645,1774,-78
30,378.222,-921,-1767,8,-84,1300,-3723,-568,1817,-31
31,390.85900000000004,-853,-1678,-39,143,1361,-3735,-515,1867,-16
32,403.581,-833,-1447,-56,419,1398,-3723,-415,1874,-49
33,416.16999999999996,-515,-1326,24,563,1390,-3690,-362,1922,-55
34,428.624,-713,-1278,105,583,1367,-3668,-289,1953,-58
35,440.801,-602,-1025,132,573,1353,-3588,-210,1953,-84
36,453.675,-480,-970,132,636,1346,-3465,-137,1957,-55
37,466.005,-754,-890,217,693,1354,-3378,-74,1924,-68
38,478.588,-533,-913,164,793,1333,-3306,14,1930,-103
39,491.119,-514,-638,323,891,1301,-3223,79,1918,-138
