,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1295,-218,284,-428,-63,-34,-830,277,161
1,13.575999999999999,-1292,-219,282,-347,-60,-41,-825,309,161
2,26.159000000000002,-1287,-213,281,-268,-62,-47,-833,291,157
3,38.538000000000004,-1289,-211,273,-203,-59,-46,-825,285,124
4,51.071,-1296,-211,269,-153,-50,-48,-823,293,143
5,63.555,-1288,-215,275,-128,-45,-49,-811,289,176
6,76.237,-1283,-213,282,-104,-37,-40,-825,287,133
7,88.73599999999999,-1278,-211,282,-96,-29,-33,-829,293,173
8,101.158,-1290,-204,283,-93,-23,-29,-817,305,137
9,113.875,-1282,-208,287,-94,-19,-25,-813,283,148
10,126.501,-1291,-216,281,-104,-12,-25,-805,299,167
11,138.87800000000001,-1309,-217,286,-118,-20,-21,-821,279,139
12,151.263,-1342,-211,289,-130,-23,-26,-811,293,164
13,163.798,-1341,-210,283,-152,-27,-35,-834,285,127
14,176.47199999999998,-1339,-214,282,-156,-40,-45,-823,277,128
15,188.94,-1334,-209,278,-170,-57,-61,-809,303,119
16,201.714,-1328,-212,274,-180,-68,-79,-805,289,123
17,214.586,-1320,-212,270,-180,-71,-101,-832,295,138
18,227.52,-1313,-208,281,-186,-69,-121,-823,291,143
19,239.952,-1305,-208,282,-193,-80,-141,-824,280,146
20,252.65300000000002,-1309,-207,281,-204,-81,-153,-826,301,127
21,264.99699999999996,-1285,-201,275,-227,-86,-154,-824,309,96
22,277.42699999999996,-1292,-219,270,-246,-84,-157,-816,303,129
23,290.04600000000005,-1299,-228,264,-269,-76,-149,-821,303,106
24,302.813,-1313,-237,267,-279,-71,-144,-831,309,98
25,315.612,-1315,-254,278,-298,-66,-142,-825,313,132
26,328.117,-1326,-253,268,-263,-47,-135,-827,323,114
27,340.508,-1333,-245,275,-238,-36,-127,-827,321,104
28,353.37,-1345,-239,280,-203,-23,-113,-829,313,113
29,365.94300000000004,-1353,-248,276,-188,-11,-105,-825,321,100
30,378.527,-1362,-243,269,-170,2,-93,-840,309,95
31,391.2,-1373,-248,269,-160,19,-77,-831,307,112
32,403.935,-1376,-248,282,-140,24,-75,-848,307,103
33,416.345,-1387,-248,293,-110,33,-75,-825,319,126
34,428.969,-1382,-234,303,-67,48,-77,-825,329,96
35,441.68800000000005,-1387,-219,311,-19,53,-84,-836,299,111
36,454.262,-1386,-204,320,48,62,-88,-827,317,107
37,466.796,-1389,-189,305,102,67,-93,-836,323,126
38,479.566,-1385,-178,305,138,66,-103,-838,323,104
39,492.01099999999997,-1393,-175,310,154,69,-104,-844,317,105
40,504.42900000000003,-1391,-159,322,161,71,-104,-846,321,121
41,517.168,-1377,-168,317,163,72,-96,-836,313,121
42,529.59,-1369,-162,327,166,68,-85,-831,327,120
43,541.9979999999999,-1356,-164,322,166,69,-64,-836,325,119
44,554.708,-1346,-171,336,179,63,-43,-856,323,146
45,567.181,-1336,-165,334,188,64,-11,-858,329,151
46,579.589,-1313,-163,339,196,72,19,-833,327,119
47,592.056,-1317,-183,337,185,68,45,-838,309,166
48,604.625,-1322,-185,332,181,73,68,-852,311,134
49,616.955,-1317,-208,329,177,76,91,-842,317,145
50,629.62,-1338,-208,324,214,83,108,-844,305,168
51,641.9730000000001,-1329,-203,313,246,77,121,-850,317,197
52,654.458,-1323,-186,307,269,71,122,-844,313,185
53,666.932,-1325,-184,293,277,67,122,-860,309,190
54,679.626,-1316,-194,288,262,65,112,-860,289,159
55,692.312,-1304,-189,286,251,61,106,-836,301,184
56,704.7600000000001,-1291,-198,290,240,57,96,-819,291,203
57,717.012,-1296,-216,281,214,61,78,-831,325,195
58,729.362,-1281,-220,269,205,61,71,-817,305,181
59,741.719,-1268,-226,260,213,65,59,-840,321,193
60,754.112,-1256,-230,256,214,65,48,-844,295,192
61,766.331,-1255,-232,250,221,74,39,-836,305,203
62,778.928,-1269,-236,234,211,88,24,-834,303,209
63,791.5269999999999,-1288,-243,237,214,100,-251,-819,313,205
64,804.278,-1314,-246,238,207,106,-16,-844,303,207
65,816.899,-1339,-246,248,212,117,-21,-858,315,240
66,828.729,-1349,-250,239,227,120,-30,-858,282,234
67,840.478,-1351,-241,250,252,127,-29,-841,282,214
68,853.358,-1358,-232,244,285,125,-38,-841,266,231
69,865.732,-1370,-227,248,301,119,-48,-856,280,228
70,878.2710000000001,-1357,-205,250,313,110,-62,-837,301,248
71,891.011,-1351,-184,252,321,94,-74,-847,280,245
72,903.696,-1349,-169,252,307,77,-100,-843,295,501
73,916.154,-1356,-170,265,281,71,-122,-864,276,267
74,928.6999999999999,-1355,-146,260,251,51,-137,-856,297,286
75,941.294,-1344,-124,282,212,36,-148,-846,303,261
76,954.101,-1340,-102,285,163,22,-150,-846,303,261
77,966.467,-1332,-98,294,107,5,-146,-864,299,279
78,978.343,-1339,-82,299,49,-14,-145,-854,287,290
79,991.3910000000001,-1324,-92,314,-21,-20,-145,-852,291,239
80,1004.0709999999999,-1320,-90,314,-100,-23,-137,-858,327,270
81,1016.424,-1315,-132,319,-158,-25,-128,-854,295,262
82,1028.662,-1303,-117,330,-198,-23,-117,-877,289,310
83,1041.1999999999998,-1310,-154,331,-268,-20,-102,-848,295,292
84,1053.746,-1315,-204,328,-280,-6,-90,-856,307,265
85,1066.1719999999998,-1312,-225,326,-267,1,-72,-854,303,251
86,1078.87,-1310,-233,319,-210,9,-56,-864,299,252
87,1091.6,-1309,-245,319,-172,12,-46,-860,303,250
88,1104.368,-1295,-281,319,-119,20,-46,-856,338,249
89,1116.858,-1291,-264,315,-60,19,-43,-854,329,263
90,1129.1299999999999,-1302,-274,325,1,22,-46,-866,327,259
91,1141.509,-1301,-274,323,36,19,-56,-858,317,270
92,1154.156,-1303,-296,317,86,20,-65,-856,307,286
93,1166.714,-1315,-278,321,140,19,-81,-856,315,308
94,1179.038,-1322,-265,315,191,15,-95,-866,325,267
95,1191.984,-1330,-245,314,225,19,-106,-872,303,266
96,1204.434,-1346,-232,304,248,14,-119,-854,331,311
97,1217.151,-1363,-222,291,272,11,-126,-862,315,284
98,1229.677,-1360,-204,291,266,11,-133,-854,315,286
99,1242.005,-1361,-182,292,260,12,-140,-872,315,298
100,1254.549,-1350,-187,295,248,19,-139,-882,323,332
101,1267.056,-1338,-194,289,222,17,-136,-882,313,319
102,1279.4319999999998,-1332,-197,289,213,23,-132,-886,319,318
103,1292.031,-1340,-212,287,231,38,-124,-886,319,338
104,1304.633,-1349,-211,289,269,48,-115,-899,327,325
105,1317.2939999999999,-1355,-218,281,333,67,-95,-874,327,324
106,1329.925,-1373,-219,286,400,73,-81,-903,305,345
107,1342.689,-1362,-200,285,456,76,-74,-899,317,363
108,1355.305,-1374,-189,278,475,82,-73,-901,315,375
109,1367.7569999999998,-1379,-179,265,473,83,-71,-893,311,375
110,1380.223,-1376,-199,268,448,79,-75,-888,346,348
111,1392.756,-1373,-192,255,420,85,-83,-907,315,364
112,1405.108,-1373,-203,2,401,86,-92,-901,317,377
113,1417.5990000000002,-1363,-195,243,394,80,-93,-890,327,345
114,1430.135,-1356,-211,239,369,83,-110,-913,313,381
115,1442.817,-1351,-226,233,366,80,-119,-893,315,399
116,1455.328,-1349,-227,226,386,86,-126,-907,340,412
117,1467.8139999999999,-1346,-226,218,400,80,-125,-911,323,423
118,1480.248,-1349,-227,213,404,80,-131,-907,331,397
119,1492.912,-1360,-219,210,400,79,-126,-909,336,426
