,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1330,67,379,-42,-100,2,-574,333,-287
1,13.252999999999998,-1333,100,403,-42,-108,5,-560,349,-279
2,25.958,-1348,91,397,-39,-114,7,-574,333,-262
3,38.666,-1358,109,396,-24,-118,7,-562,333,-275
4,50.856,-1350,152,364,3,-128,20,-564,359,-268
5,63.32300000000001,-1370,156,332,49,-120,44,-562,349,-305
6,75.726,-1421,151,318,112,-108,53,-541,335,-289
7,88.489,-1442,146,326,207,-87,78,-547,329,-284
8,100.84,-1453,178,317,302,-82,100,-553,309,-291
9,113.552,-1430,176,231,405,-64,104,-568,327,-282
10,126.21,-1451,195,133,483,-22,92,-562,319,-256
11,139.102,-1429,200,87,542,25,86,-558,309,-257
12,151.618,-1410,207,35,633,74,96,-537,302,-229
13,166.687,-1364,137,9,776,150,93,-549,296,-248
14,179.142,-1374,66,-26,930,258,85,-572,290,-195
15,191.56699999999998,-1421,5,-55,1232,371,75,-555,258,-177
16,203.71800000000002,-1507,8,-117,1588,434,70,-562,252,-166
17,216.441,-1540,4,-173,1876,510,29,-580,245,-117
18,228.92100000000002,-1607,17,-244,2199,584,-38,-580,211,-78
19,241.465,-1577,85,-254,2025,623,-135,-588,199,-72
20,253.81199999999998,-1495,103,-300,1946,651,-230,-590,205,0
21,266.60499999999996,-1437,171,-326,1823,701,-315,-600,178,61
22,279.14,-1400,199,-326,1330,767,-348,-621,187,78
23,291.7,-1404,112,-262,1293,828,-376,-619,176,112
24,304.06,-1421,-1,-210,1012,867,-403,-604,215,150
25,316.788,-1465,-70,-166,899,899,-424,-614,211,166
26,329.369,-1451,-142,-134,704,895,-441,-610,225,202
27,341.758,-1445,-231,-151,550,894,-448,-637,217,217
28,354.273,-1444,-272,-135,415,884,-468,-661,229,257
29,367.062,-1440,-293,-143,407,863,-490,-653,243,287
30,379.505,-1451,-323,-133,485,843,-507,-675,258,316
31,391.745,-1504,-390,-167,420,811,-537,-675,274,304
32,404.271,-1516,-469,-172,529,779,-596,-712,300,347
33,417.093,-1553,-558,-137,571,753,-680,-682,309,330
34,429.825,-1602,-546,-46,568,705,-789,-728,325,369
35,442.183,-1628,-489,-16,444,654,-887,-726,325,395
36,454.575,-1617,-479,-9,407,576,-1001,-736,372,434
37,467.15299999999996,-1577,-473,-50,364,514,-1093,-761,386,438
38,479.831,-1535,-496,-70,377,468,-1161,-769,402,438
39,492.21799999999996,-1475,-591,-81,425,419,-1206,-795,437,434
40,504.68100000000004,-1444,-672,-50,491,384,-1268,-789,483,487
41,517.448,-1437,-653,3,583,343,-1326,-808,504,487
42,530.301,-1412,-572,45,561,280,-1385,-834,512,488
43,542.713,-1379,-556,91,486,213,-1451,-818,557,497
44,555.196,-1376,-510,32,387,140,-1490,-854,601,501
45,567.782,-1301,-406,25,196,80,-1510,-862,626,488
46,580.484,-1182,-463,4,-9,52,-1527,-878,650,527
47,593.092,-1147,-597,-13,-77,40,-1524,-887,731,529
48,605.481,-1155,-715,184,-16,44,-1540,-921,735,490
49,617.961,-1240,-676,121,222,28,-1557,-897,796,493
50,630.516,-1301,-511,150,139,-39,-1559,-933,818,519
51,642.4250000000001,-1289,-420,129,103,-100,-1553,-942,868,528
52,654.198,-1262,-416,102,-15,-193,-1523,-946,902,536
53,666.063,-1191,-479,-6,-158,-275,-1468,-942,955,527
54,680.351,-1192,-644,-83,-213,-326,-1416,-938,980,524
55,692.959,-1263,-803,20,-152,-331,-1355,-974,1012,534
56,705.386,-1263,-830,-71,46,-410,-1296,-972,1049,511
57,717.798,-1242,-668,-106,242,-428,-1232,-972,1089,504
58,730.521,-1195,-621,-107,104,-509,-1170,-970,1124,488
59,742.913,-1163,-477,-28,94,-550,-1111,-987,1183,465
60,755.4689999999999,-1119,-568,-95,-8,-605,-1031,-1007,1203,473
61,767.849,-1104,-610,-122,-61,-590,-986,-1015,1226,460
62,780.351,-1115,-705,-151,-66,-582,-917,-995,1236,452
63,792.9159999999999,-1073,-779,-183,-56,-588,-855,-1013,1278,432
64,805.273,-1059,-794,-161,-7,-556,-779,-1033,1327,416
65,817.966,-991,-741,-159,-60,-569,-728,-1015,1339,415
66,830.673,-919,-669,-211,28,-522,-658,-1029,1382,411
67,842.96,-912,-617,-183,3,-503,-590,-1029,1384,403
68,855.176,-907,-672,-197,-18,-473,-516,-1050,1384,403
69,867.52,-889,-821,-243,-54,-411,-467,-1054,1370,354
70,880.3330000000001,-874,-882,-238,-7,-357,-411,-1062,1398,401
71,892.9639999999999,-864,-901,-183,113,-326,-333,-1046,1406,360
72,905.365,-822,-800,-201,199,-295,-262,-1052,1435,360
73,917.6659999999999,-785,-791,-212,202,-277,-197,-1062,1435,354
74,930.174,-755,-839,-280,206,-237,-109,-1052,1417,341
