,time_ms,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
0,0.0,-1332,-375,291,-83,-38,-182,-668,728,-477
1,13.395000000000001,-1366,-462,284,-63,-47,-237,-650,726,-460
2,25.786,-1393,-520,318,-70,-67,-345,-656,734,-463
3,38.469,-1406,-515,325,-123,-75,-489,-660,747,-443
4,50.934,-1443,-542,313,-187,-96,-669,-646,759,-455
5,63.568,-1456,-609,329,-266,-143,-810,-652,745,-451
6,76.00999999999999,-1477,-710,335,-287,-188,-959,-674,777,-454
7,88.40599999999999,-1504,-778,378,-219,-248,-1124,-666,804,-449
8,100.911,-1513,-842,420,-146,-319,-1310,-676,818,-473
9,113.35199999999999,-1519,-925,435,-77,-410,-1487,-680,840,-481
10,125.857,-1512,-1085,438,5,-493,-1706,-672,854,-472
11,138.617,-1499,-1223,432,122,-548,-1880,-662,887,-502
12,151.185,-1463,-1246,509,335,-586,-1985,-662,899,-471
13,163.72400000000002,-1412,-1206,659,574,-640,-2083,-666,909,-502
14,176.304,-1352,-1199,793,755,-742,-2195,-662,931,-510
15,188.9,-1283,-1320,864,910,-898,-2318,-654,950,-536
16,201.413,-1253,-1493,857,989,-1049,-2471,-654,950,-516
17,214.2,-1194,-1570,812,970,-1145,-2628,-648,964,-535
18,226.855,-1108,-1623,856,846,-1223,-2773,-627,979,-570
19,239.195,-1020,-1648,1018,684,-1283,-2940,-642,1235,-564
20,251.64700000000002,-899,-1727,1178,590,-1385,-3125,-595,1032,-586
21,264.193,-865,-1735,1300,666,-1478,-3291,-593,1030,-576
22,276.729,-858,-1806,1333,603,-1630,-3468,-562,1056,-576
23,289.39,-871,-2288,1221,380,-1738,-3737,-536,1072,-604
24,302.062,-805,-2082,1139,475,-1831,-4001,-503,1113,-621
25,314.28299999999996,-713,-1964,1062,347,-1913,-4165,-467,1139,-656
26,326.854,-572,-1894,969,219,-1930,-4598,-436,1160,-687
27,339.45599999999996,-440,-1838,995,200,-1916,-4462,-389,1196,-702
28,352.205,-366,-1760,1018,294,-1909,-4536,-351,1219,-723
29,364.462,-280,-1755,994,488,-1914,-4552,-310,1225,-747
30,377.233,-233,-1736,931,595,-1939,-4525,-224,1245,-740
31,389.68,-179,-1663,787,589,-1956,-4472,-190,1259,-795
32,402.502,-92,-1612,674,624,-1892,-4349,-129,1270,-771
33,415.027,-29,-1537,695,648,-1782,-4182,-58,1248,-772
34,427.55,6,-1404,720,751,-1645,-3982,-29,1249,-790
35,439.835,65,-1279,765,861,-1520,-3748,32,1233,-775
36,452.158,78,-1153,761,1123,-1456,-3410,83,1218,-786
37,464.877,123,-1013,714,1242,-1384,-3018,148,1180,-798
38,477.686,171,-819,682,1223,-1301,-2606,191,1141,-794
39,490.221,299,-751,671,1119,-1206,-2266,223,1096,-815
40,502.82000000000005,373,-800,705,856,-1032,-1893,242,1088,-812
41,515.478,340,-761,791,440,-852,-1535,293,1078,-818
42,528.085,292,-686,822,139,-716,-1134,313,1068,-799
43,540.37,243,-531,762,-73,-571,-520,303,1048,-801
44,553.169,188,-408,673,-343,-438,-338,307,1056,-774
45,565.63,239,-397,555,-358,-286,122,325,1070,-810
46,578.219,246,-509,510,-276,-131,637,327,1060,-800
47,590.9290000000001,149,-593,501,111,58,1184,317,1062,-760
48,602.6550000000001,-56,-521,581,458,238,1662,315,1078,-798
49,614.519,-272,-325,647,745,352,2246,315,1080,-797
50,627.888,-944,-190,531,750,460,2763,293,1058,-777
51,640.6279999999999,-1183,-163,405,486,587,3205,284,1048,-813
52,653.22,-1525,-365,432,235,689,3485,256,1050,-802
53,665.7180000000001,-1639,-671,544,36,743,3611,0,1084,-814
54,678.232,-1463,-853,699,150,695,3483,227,1082,-807
55,690.952,-1074,-812,717,262,588,3035,207,1064,-802
56,703.6179999999999,-392,-1502,544,-167,382,2023,191,1089,-824
57,716.215,362,-1347,310,-1232,72,301,189,1089,-809
58,728.383,356,118,235,-1172,-214,-654,175,1101,-809
59,740.79,-47,73,450,-489,-296,-631,185,1095,-809
60,753.0329999999999,95,-790,591,181,-466,-693,217,1101,-770
61,765.328,138,-1115,697,954,-573,-797,225,1084,-789
62,778.104,-252,-635,725,1648,-484,-552,234,1070,-810
63,790.554,16,-415,632,1105,-326,-285,232,1044,-804
64,803.213,231,-399,635,621,-204,-84,242,1013,-823
65,815.5949999999999,237,-374,759,440,-105,104,252,1007,-776
66,828.082,264,-602,817,-104,16,69,264,1046,-806
67,840.656,272,-732,758,-431,149,-69,246,1007,-775
68,852.9480000000001,255,-735,788,-443,179,-153,254,1017,-808
69,865.4119999999999,221,-906,946,-214,141,-148,240,1021,-760
70,878.026,1,-910,974,2,127,-110,242,1037,-816
71,890.356,275,-904,991,98,112,-79,225,1058,-821
72,902.868,301,-853,1008,203,99,-34,219,1035,-794
73,915.351,278,-755,998,220,76,28,242,1017,-795
74,927.8,250,-774,983,27,53,48,227,1013,-803
75,940.369,222,-832,970,-217,70,49,223,1001,-817
76,952.8480000000001,223,-956,1035,-395,83,49,217,1029,-804
77,965.211,225,-1029,1062,-389,78,48,213,1033,-820
78,978.07,239,-1038,1037,-218,62,49,225,1052,-816
79,989.875,246,-957,986,-27,44,51,215,1046,-847
80,1001.7450000000001,233,-832,967,95,22,59,215,1050,-814
81,1013.495,260,-826,930,60,-9,53,215,1048,-806
82,1026.8919999999998,247,-818,937,-114,4,59,207,1070,-832
83,1039.416,261,-945,987,-283,12,78,207,1060,-799
84,1052.1100000000001,260,-1057,1011,-282,25,101,207,1050,-832
85,1064.645,254,-1081,1015,-163,26,112,217,1056,-822
86,1077.442,249,-1016,992,-56,21,113,229,1044,-832
87,1089.836,260,-960,956,0,-1,102,225,1044,-829
88,1102.3970000000002,256,-951,902,-16,-12,87,223,1062,-828
89,1115.041,230,-995,899,-72,-9,84,217,1066,-807
90,1127.378,237,-1056,921,-149,-15,81,213,1060,-807
91,1139.656,224,-1102,941,-111,-8,69,221,1070,-825
92,1152.265,237,-1082,957,-63,-13,65,215,1078,-842
93,1164.905,238,-1045,951,-14,-19,56,223,1062,-805
94,1177.379,242,-1026,924,-9,-25,48,211,1068,-821
95,1189.688,236,-999,903,-49,-24,40,211,1077,-784
96,1203.2259999999999,236,-1038,910,-114,-12,39,211,1070,-822
97,1215.94,235,-1087,955,-155,-2,37,195,1064,-823
98,1228.168,245,-1084,963,-140,-5,27,209,1068,-815
99,1240.903,235,-1067,945,-104,-8,21,195,1068,-816
100,1252.7140000000002,228,-1086,902,-101,-22,8,189,1086,-812
101,1265.787,221,-1059,884,-84,-32,-10,197,1070,-793
102,1278.244,225,-1045,895,-65,-30,-22,201,1072,-813
103,1291.757,237,-1049,927,-45,-25,-26,205,1072,-805
104,1304.108,239,-1007,912,-27,-19,-32,217,1064,-815
